epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.20194,1.11207,0.82759,1,0.46403,0.000361917,0.000361917,0.000361917
2,12.1144,0.38961,0.93678,1,0.1722,0.000725001,0.000725001,0.000725001
3,16.3846,0.31842,0.93678,1,0.15637,0.00108075,0.00108075,0.00108075
4,20.7472,0.2546,0.94828,1,0.13678,0.001078,0.001078,0.001078
5,24.9939,0.1885,0.97701,1,0.12122,0.001067,0.001067,0.001067
6,29.2266,0.22529,0.95402,1,0.17462,0.00105601,0.00105601,0.00105601
7,33.3307,0.23505,0.94253,1,0.19171,0.00104501,0.00104501,0.00104501
8,37.4295,0.20472,0.93678,1,0.24053,0.00103401,0.00103401,0.00103401
