epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78625,2.44019,4.37611,2.31119,0.00196,0.60897,0.03444,0.01973,2.14461,3.93987,2.18135,0.00035007,0.00035007,0.00035007
2,7.00375,2.31333,3.97354,2.17455,0.00247,0.64744,0.12276,0.02039,2.40682,3.72894,2.62267,0.000709714,0.000709714,0.000709714
3,10.1289,2.37455,3.81823,2.26238,0.50478,0.16667,0.00599,0.00103,2.49303,5.23998,2.76934,0.0010621,0.0010621,0.0010621
4,13.2292,2.4142,3.63265,2.26734,0.00237,0.63462,0.02537,0.01005,2.69143,4.29266,2.9559,0.00140722,0.00140722,0.00140722
5,16.2711,2.37628,3.59465,2.25293,0.07301,0.16026,0.03216,0.01151,2.79728,3.91935,2.65363,0.00160099,0.00160099,0.00160099
6,19.3513,2.3554,3.40949,2.22008,0.53975,0.07692,0.074,0.01453,2.62376,10.048,3.21748,0.00158448,0.00158448,0.00158448
7,22.372,2.34014,3.3453,2.28001,0.26028,0.12179,0.06358,0.01634,3.13177,4.39354,3.5502,0.00156798,0.00156798,0.00156798
8,25.6888,2.34604,3.28976,2.30432,0.65219,0.11538,0.08471,0.03265,2.60646,4.4727,2.51103,0.00155148,0.00155148,0.00155148
9,28.7141,2.3116,3.13196,2.21017,0.26054,0.19872,0.17508,0.07768,2.46432,4.1421,2.39308,0.00153497,0.00153497,0.00153497
10,31.7857,2.29307,3.17393,2.20204,0.56505,0.19231,0.05047,0.02232,2.51192,3.50631,2.68749,0.00151847,0.00151847,0.00151847
11,34.8054,2.22412,3.08496,2.14579,0.04316,0.23077,0.03876,0.01952,2.39115,10.7168,2.58892,0.00150197,0.00150197,0.00150197
12,37.8983,2.22104,3.03922,2.16629,0.17912,0.3141,0.23166,0.09824,2.20124,3.2422,2.15386,0.00148546,0.00148546,0.00148546
13,40.9735,2.26282,2.95868,2.19218,0.11711,0.28205,0.12101,0.05548,2.24384,2.98318,2.1636,0.00146896,0.00146896,0.00146896
