epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.07566,0.66346,0.73077,1,0.48633,0.000540231,0.000540231,0.000540231
2,11.3805,0.591,0.76923,1,0.54102,0.00108505,0.00108505,0.00108505
3,14.7812,0.55303,0.73077,1,0.77344,0.00161886,0.00161886,0.00161886
4,18.1693,0.67253,0.69231,1,0.56689,0.00161749,0.00161749,0.00161749
5,21.5632,0.56315,0.73077,1,0.64648,0.00160099,0.00160099,0.00160099
6,24.8507,0.55269,0.73077,1,0.55908,0.00158448,0.00158448,0.00158448
7,28.3076,0.55705,0.80769,1,0.6084,0.00156798,0.00156798,0.00156798
8,31.7984,0.55911,0.73077,1,0.52734,0.00155148,0.00155148,0.00155148
9,35.0364,0.50005,0.92308,1,0.37451,0.00153497,0.00153497,0.00153497
10,38.737,0.48051,0.84615,1,0.28271,0.00151847,0.00151847,0.00151847
11,42.2495,0.48057,0.92308,1,0.22803,0.00150197,0.00150197,0.00150197
12,45.9126,0.51179,0.84615,1,0.58984,0.00148546,0.00148546,0.00148546
13,49.419,0.44007,0.69231,1,0.62793,0.00146896,0.00146896,0.00146896
14,52.6024,0.43554,0.80769,1,0.77783,0.00145246,0.00145246,0.00145246
15,55.801,0.41308,0.84615,1,0.32666,0.00143595,0.00143595,0.00143595
16,59.3526,0.42523,0.76923,1,0.32812,0.00141945,0.00141945,0.00141945
17,62.6058,0.44595,0.80769,1,0.39575,0.00140295,0.00140295,0.00140295
18,65.8988,0.40924,0.88462,1,0.28149,0.00138644,0.00138644,0.00138644
19,69.1347,0.40402,0.84615,1,0.2959,0.00136994,0.00136994,0.00136994
20,72.3339,0.40364,0.84615,1,0.36328,0.00135344,0.00135344,0.00135344
21,75.6115,0.4181,0.80769,1,0.40796,0.00133693,0.00133693,0.00133693
22,78.8689,0.37382,0.88462,1,0.24792,0.00132043,0.00132043,0.00132043
23,82.1348,0.3418,0.80769,1,0.37524,0.00130393,0.00130393,0.00130393
24,85.4977,0.33827,0.84615,1,0.28979,0.00128742,0.00128742,0.00128742
25,88.9108,0.32986,0.80769,1,0.42749,0.00127092,0.00127092,0.00127092
26,92.4408,0.32179,0.84615,1,0.20227,0.00125442,0.00125442,0.00125442
27,96.2708,0.34852,0.84615,1,0.48584,0.00123791,0.00123791,0.00123791
28,99.8347,0.31842,0.88462,1,0.24744,0.00122141,0.00122141,0.00122141
29,103.277,0.31756,0.92308,1,0.2522,0.00120491,0.00120491,0.00120491
30,106.818,0.32645,0.88462,1,0.60938,0.0011884,0.0011884,0.0011884
31,110.225,0.35732,0.84615,1,0.35938,0.0011719,0.0011719,0.0011719
32,113.682,0.37229,0.92308,1,0.25146,0.0011554,0.0011554,0.0011554
33,117.42,0.34156,0.76923,1,0.4502,0.00113889,0.00113889,0.00113889
34,120.992,0.28405,0.80769,1,0.42676,0.00112239,0.00112239,0.00112239
35,124.61,0.30871,0.92308,1,0.12073,0.00110589,0.00110589,0.00110589
36,128.135,0.27932,0.84615,1,0.46777,0.00108938,0.00108938,0.00108938
37,131.686,0.28552,0.92308,1,0.23682,0.00107288,0.00107288,0.00107288
38,135.212,0.27332,0.84615,1,0.51807,0.00105638,0.00105638,0.00105638
39,138.813,0.24462,0.88462,1,0.44287,0.00103987,0.00103987,0.00103987
40,142.298,0.28273,0.84615,1,0.55908,0.00102337,0.00102337,0.00102337
41,145.623,0.22248,0.80769,1,0.38989,0.00100687,0.00100687,0.00100687
42,148.897,0.23798,0.88462,1,0.56299,0.000990365,0.000990365,0.000990365
43,152.217,0.28804,0.84615,1,0.39697,0.000973861,0.000973861,0.000973861
44,155.726,0.22145,0.76923,1,0.46924,0.000957358,0.000957358,0.000957358
45,159.207,0.21665,0.92308,1,0.25513,0.000940855,0.000940855,0.000940855
46,162.643,0.22525,0.80769,1,0.96045,0.000924352,0.000924352,0.000924352
47,166.114,0.21787,0.80769,1,0.90527,0.000907848,0.000907848,0.000907848
48,169.504,0.21151,0.80769,1,0.89209,0.000891345,0.000891345,0.000891345
49,173.032,0.19323,0.80769,1,0.74414,0.000874842,0.000874842,0.000874842
50,176.386,0.1826,0.84615,1,0.28223,0.000858338,0.000858338,0.000858338
51,179.89,0.25445,0.80769,1,0.93408,0.000841835,0.000841835,0.000841835
52,183.229,0.21024,0.80769,1,0.57178,0.000825332,0.000825332,0.000825332
53,186.642,0.22418,0.80769,1,0.77197,0.000808828,0.000808828,0.000808828
