epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16419,2.50565,4.47481,2.34209,0.00224,0.64744,0.12404,0.05756,2.09602,3.84946,1.9269,0.00035007,0.00035007,0.00035007
2,7.41803,2.38751,3.98219,2.21445,0.0044,0.67949,0.16346,0.07566,2.09408,3.51765,2.04699,0.000681328,0.000681328,0.000681328
3,10.7442,2.38405,3.80143,2.25082,0.00289,0.55128,0.1679,0.07625,2.0148,3.58688,2.06525,0.000976279,0.000976279,0.000976279
4,14.0289,2.30213,3.58395,2.20879,0.08729,0.11538,0.06829,0.01851,2.39139,3.5543,2.29761,0.00123492,0.00123492,0.00123492
5,17.1274,2.28327,3.4224,2.17096,0.06312,0.10048,0.02221,0.00821,2.48578,4.47762,2.48402,0.00133693,0.00133693,0.00133693
6,20.1672,2.30074,3.27844,2.15444,0.60252,0.16667,0.07919,0.02737,2.80712,4.61606,3.00075,0.00125442,0.00125442,0.00125442
7,23.3758,2.22926,3.17419,2.10182,0.24409,0.28205,0.11609,0.04728,2.51579,3.97397,2.48586,0.0011719,0.0011719,0.0011719
8,26.7721,2.24061,3.13588,2.12374,0.86179,0.23077,0.27057,0.13965,2.27977,3.46144,2.3195,0.00108938,0.00108938,0.00108938
9,30.2302,2.21496,3.04485,2.12905,0.79574,0.16824,0.21271,0.10125,2.13623,3.2056,2.13569,0.00100687,0.00100687,0.00100687
10,33.721,2.18491,2.98077,2.08223,0.40162,0.36538,0.28402,0.11073,2.06093,3.02255,1.99948,0.000924352,0.000924352,0.000924352
11,52.8818,2.15805,3.08427,2.15004,0.3728,0.23718,0.25007,0.0876,2.05999,3.35731,2.06388,0.000841835,0.000841835,0.000841835
12,55.9238,2.05396,2.9362,2.07373,0.34381,0.36538,0.28918,0.12226,2.07401,3.27759,2.06769,0.000759318,0.000759318,0.000759318
13,59.0723,1.98205,2.76193,1.98059,0.37046,0.52564,0.33324,0.10269,2.14546,3.07682,2.06971,0.000676802,0.000676802,0.000676802
14,62.2115,2.00191,2.6505,1.98255,0.26371,0.44231,0.29773,0.11426,1.95418,2.52103,1.80217,0.000594286,0.000594286,0.000594286
15,65.2546,1.96109,2.53734,1.93592,0.53472,0.35897,0.35396,0.14436,1.95327,2.41475,1.88335,0.000511769,0.000511769,0.000511769
16,68.3893,1.91553,2.49451,1.91455,0.74587,0.27564,0.34851,0.14979,1.89307,2.27982,1.89901,0.000429253,0.000429253,0.000429253
17,71.4583,1.82755,2.38693,1.87516,0.70418,0.27564,0.37364,0.19161,1.83763,2.25813,1.86893,0.000346736,0.000346736,0.000346736
18,74.5155,1.76887,2.30168,1.8252,0.66181,0.31008,0.39316,0.19174,1.8657,2.20739,1.83858,0.00026422,0.00026422,0.00026422
19,77.5721,1.75871,2.24088,1.81824,0.62383,0.27564,0.43476,0.20775,1.89008,2.19469,1.80208,0.000181703,0.000181703,0.000181703
20,80.7473,1.77744,2.23082,1.82284,0.6713,0.27019,0.41256,0.18382,1.89089,2.19464,1.80057,9.91865e-05,9.91865e-05,9.91865e-05
