epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1199,1.11372,0.83908,1,0.55345,0.000361917,0.000361917,0.000361917
2,15.4913,0.40163,0.91954,1,0.22713,0.000725001,0.000725001,0.000725001
3,19.7249,0.28964,0.91379,1,0.30842,0.00108075,0.00108075,0.00108075
4,23.969,0.26365,0.91954,1,0.21811,0.001078,0.001078,0.001078
5,28.2211,0.2187,0.97126,1,0.11567,0.001067,0.001067,0.001067
6,32.4231,0.23032,0.94828,1,0.11315,0.00105601,0.00105601,0.00105601
7,36.5265,0.21807,0.91954,1,0.21465,0.00104501,0.00104501,0.00104501
8,40.7334,0.20031,0.93103,1,0.28444,0.00103401,0.00103401,0.00103401
9,44.925,0.19248,0.94253,1,0.23902,0.00102301,0.00102301,0.00102301
10,49.0103,0.1694,0.96552,1,0.13576,0.00101201,0.00101201,0.00101201
11,53.0014,0.17061,0.8908,1,0.39481,0.00100101,0.00100101,0.00100101
12,57.1235,0.19257,0.95977,1,0.10252,0.000990012,0.000990012,0.000990012
13,61.2078,0.15628,1,1,0.01903,0.000979013,0.000979013,0.000979013
14,65.2473,0.14012,0.97701,1,0.08239,0.000968014,0.000968014,0.000968014
15,69.2914,0.07857,0.95977,1,0.07808,0.000957015,0.000957015,0.000957015
16,73.4151,0.09385,0.99425,1,0.06173,0.000946016,0.000946016,0.000946016
17,77.4336,0.10913,0.97701,1,0.0371,0.000935018,0.000935018,0.000935018
18,81.496,0.0701,0.99425,1,0.01646,0.000924019,0.000924019,0.000924019
19,85.5988,0.11271,0.98851,1,0.04129,0.00091302,0.00091302,0.00091302
20,89.8308,0.08098,0.98851,1,0.02413,0.000902021,0.000902021,0.000902021
21,93.9207,0.10134,0.97126,1,0.102,0.000891022,0.000891022,0.000891022
22,97.9658,0.1027,0.97701,1,0.05891,0.000880023,0.000880023,0.000880023
23,102.01,0.07943,0.97701,1,0.08275,0.000869024,0.000869024,0.000869024
24,106.189,0.07861,0.97701,1,0.0796,0.000858025,0.000858025,0.000858025
25,110.337,0.08162,0.96552,1,0.13218,0.000847026,0.000847026,0.000847026
26,114.373,0.05994,0.97701,1,0.05447,0.000836027,0.000836027,0.000836027
27,118.458,0.06697,0.97701,1,0.0564,0.000825029,0.000825029,0.000825029
28,122.622,0.05307,0.98851,1,0.08099,0.00081403,0.00081403,0.00081403
