epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94419,2.65275,4.48254,2.40667,0.0022,0.40054,0.0166,0.00741,2.17636,3.7889,2.05531,0.000463102,0.000463102,0.000463102
2,11.953,2.46459,4.08346,2.24963,0.4226,0.17366,0.0629,0.02427,2.59257,3.64795,2.37775,0.000892933,0.000892933,0.000892933
3,17.0096,2.50131,3.82664,2.27719,0.46636,0.15851,0.0816,0.02759,2.69278,4.03341,2.61809,0.00127561,0.00127561,0.00127561
4,22.1218,2.47876,3.65903,2.2682,0.83833,0.12821,0.12969,0.04364,2.5317,5.1024,2.33308,0.00121679,0.00121679,0.00121679
5,27.1649,2.44625,3.56822,2.26063,0.40674,0.23543,0.06666,0.02198,2.58239,3.69344,2.42391,0.00114606,0.00114606,0.00114606
6,32.1395,2.37387,3.43932,2.23829,0.07883,0.16278,0.0927,0.02359,2.80333,3.57926,2.41822,0.00107532,0.00107532,0.00107532
7,37.0966,2.29913,3.37225,2.22857,0.21276,0.27894,0.1411,0.05587,2.44064,3.45656,2.24936,0.00100459,0.00100459,0.00100459
8,42.178,2.26169,3.20902,2.17743,0.10867,0.19308,0.11245,0.05252,2.28783,3.2794,2.09617,0.000933851,0.000933851,0.000933851
9,47.287,2.23115,3.17082,2.13331,0.29727,0.13714,0.19473,0.08301,2.21741,2.8001,2.00398,0.000863116,0.000863116,0.000863116
10,52.2943,2.21786,3.10569,2.11245,0.2624,0.25952,0.26672,0.11593,2.2588,2.86258,2.04435,0.00079238,0.00079238,0.00079238
11,72.0193,2.26216,3.26584,2.17938,0.1569,0.32984,0.16916,0.06091,2.3079,2.85229,2.10212,0.000721645,0.000721645,0.000721645
12,76.8312,2.20265,3.07931,2.13424,0.2792,0.36014,0.2388,0.10173,2.29441,2.63774,2.08411,0.000650909,0.000650909,0.000650909
13,81.6782,2.12544,2.87878,2.07788,0.2611,0.4524,0.26253,0.12852,2.27061,2.60899,2.07723,0.000580174,0.000580174,0.000580174
14,86.6681,2.08872,2.81938,2.05613,0.23441,0.38008,0.25872,0.14278,2.32182,2.47567,2.12491,0.000509438,0.000509438,0.000509438
15,91.6759,2.03154,2.77026,2.02523,0.28335,0.36014,0.23832,0.10768,2.08377,2.52421,1.9336,0.000438703,0.000438703,0.000438703
16,96.6934,1.99006,2.67001,1.97812,0.27613,0.45183,0.30258,0.14239,2.1097,2.45076,1.9951,0.000367967,0.000367967,0.000367967
17,101.629,1.95666,2.65692,1.96087,0.35521,0.4207,0.30383,0.1402,2.04239,2.23865,1.89787,0.000297232,0.000297232,0.000297232
18,106.908,1.89096,2.52645,1.87777,0.32106,0.42674,0.32033,0.15368,2.10518,2.29654,1.92751,0.000226497,0.000226497,0.000226497
19,111.964,1.85447,2.51268,1.86214,0.39622,0.36636,0.33474,0.16956,2.13667,2.29225,1.96961,0.000155761,0.000155761,0.000155761
20,116.808,1.87573,2.47967,1.8973,0.49326,0.41181,0.43764,0.19436,2.11262,2.20759,1.96936,8.50255e-05,8.50255e-05,8.50255e-05
