epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,111.817,1.95434,2.76997,2.13566,0.29886,0.41787,0.30328,0.11463,2.01933,2.71659,2.16768,0.00107288,0.00107288,0.00107288
20,117.51,1.94447,2.71372,2.11426,0.40231,0.36473,0.3458,0.15305,2.01458,2.38617,2.18104,0.00103987,0.00103987,0.00103987
21,123.355,1.9305,2.6316,2.08198,0.35035,0.39106,0.3623,0.15052,1.9651,2.41208,2.09022,0.00100687,0.00100687,0.00100687
22,129.063,1.88961,2.65811,2.1023,0.34269,0.30273,0.37301,0.17047,1.88076,2.26505,2.10179,0.000973861,0.000973861,0.000973861
23,134.821,1.8839,2.62564,2.07617,0.24787,0.4132,0.3239,0.14369,1.8451,2.40071,2.01472,0.000940855,0.000940855,0.000940855
24,140.419,1.8659,2.59785,2.06755,0.33336,0.3587,0.33977,0.15087,1.87576,2.29489,2.01393,0.000907848,0.000907848,0.000907848
25,145.995,1.82982,2.54939,2.03616,0.45266,0.45773,0.4232,0.19618,1.89829,2.23942,2.01816,0.000874842,0.000874842,0.000874842
26,151.786,1.86199,2.60695,2.04913,0.53591,0.35292,0.3898,0.16507,1.91378,2.32666,2.09644,0.000841835,0.000841835,0.000841835
27,157.41,1.86266,2.61246,2.07278,0.38419,0.3587,0.3494,0.16922,1.93421,2.31327,2.04287,0.000808828,0.000808828,0.000808828
28,163.111,1.77416,2.52087,2.01557,0.49775,0.36473,0.38673,0.17226,1.83054,2.22703,1.97079,0.000775822,0.000775822,0.000775822
29,168.91,1.81107,2.46597,2.02444,0.28642,0.3587,0.31152,0.13706,1.91197,2.40943,2.01191,0.000742815,0.000742815,0.000742815
30,174.526,1.82239,2.42663,1.98275,0.46934,0.39855,0.41482,0.17506,1.85167,2.26421,1.96283,0.000709809,0.000709809,0.000709809
31,180.31,1.76196,2.40123,1.9452,0.44666,0.45397,0.42368,0.16389,1.94311,2.30488,1.99931,0.000676802,0.000676802,0.000676802
32,185.843,1.77339,2.41607,1.99263,0.46019,0.46981,0.445,0.21023,1.86423,2.25194,2.02083,0.000643795,0.000643795,0.000643795
33,191.511,1.7594,2.4214,1.9673,0.34614,0.44565,0.38997,0.17251,1.82252,2.15717,1.96724,0.000610789,0.000610789,0.000610789
34,196.987,1.738,2.36769,1.96762,0.42674,0.46687,0.40651,0.20188,1.81138,2.34277,2.02883,0.000577782,0.000577782,0.000577782
35,202.465,1.73315,2.3022,1.92756,0.45313,0.39251,0.42139,0.17583,1.89896,2.17185,2.07788,0.000544776,0.000544776,0.000544776
36,208.166,1.70331,2.29978,1.93448,0.35777,0.46377,0.42436,0.21747,1.75457,2.16585,1.91561,0.000511769,0.000511769,0.000511769
37,214.171,1.68546,2.26332,1.89838,0.64941,0.44565,0.4966,0.22224,1.77395,2.1236,1.95725,0.000478762,0.000478762,0.000478762
38,219.961,1.69358,2.29253,1.92778,0.39951,0.48551,0.44005,0.19769,1.91119,2.20256,2.03755,0.000445756,0.000445756,0.000445756
39,225.436,1.69406,2.2176,1.90069,0.38295,0.50121,0.4045,0.17706,1.98076,2.25052,2.04523,0.000412749,0.000412749,0.000412749
40,231.397,1.68072,2.24862,1.89269,0.39736,0.51691,0.4347,0.22859,1.76591,2.16395,1.89509,0.000379743,0.000379743,0.000379743
41,253.271,1.67869,2.20472,1.9814,0.57128,0.41891,0.42759,0.19252,1.95448,2.40992,2.04539,0.000346736,0.000346736,0.000346736
42,258.982,1.68409,2.12041,1.99983,0.52839,0.39251,0.47678,0.23262,1.74756,2.17218,1.9189,0.000313729,0.000313729,0.000313729
43,264.917,1.67298,2.07689,1.9694,0.69306,0.43599,0.52943,0.24336,1.81133,2.17564,1.94228,0.000280723,0.000280723,0.000280723
44,270.634,1.61356,1.95464,1.90414,0.63662,0.46777,0.51872,0.23296,1.82286,2.27068,1.90821,0.000247716,0.000247716,0.000247716
45,276.556,1.60699,1.90325,1.91231,0.68544,0.41425,0.49282,0.2131,1.87291,2.30799,1.97172,0.00021471,0.00021471,0.00021471
46,282.235,1.60004,1.92756,1.89414,0.65084,0.42029,0.50143,0.23418,1.82907,2.25933,1.9086,0.000181703,0.000181703,0.000181703
47,288.181,1.5791,1.88431,1.89143,0.64358,0.52672,0.512,0.232,1.79459,2.2901,1.88206,0.000148696,0.000148696,0.000148696
48,293.818,1.5625,1.86665,1.87081,0.60766,0.45773,0.49677,0.22473,1.83664,2.27952,1.91178,0.00011569,0.00011569,0.00011569
49,299.76,1.54009,1.80622,1.84402,0.67179,0.44203,0.50374,0.22612,1.82069,2.24034,1.88341,8.26832e-05,8.26832e-05,8.26832e-05
50,305.558,1.524,1.79581,1.83142,0.58261,0.43599,0.48664,0.22655,1.78208,2.25901,1.87272,4.96766e-05,4.96766e-05,4.96766e-05
