epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66197,2.43221,3.89296,2.38904,0.0031,0.5942,0.04979,0.01661,2.12345,3.59085,2.09307,0.000540231,0.000540231,0.000540231
2,13.5944,2.30309,3.66852,2.35185,0.00124,0.21014,0.00111,0.00032,4.13263,3.90211,5.75238,0.0010742,0.0010742,0.0010742
3,19.0421,2.3848,3.6487,2.50947,0.57252,0.02778,0.01176,0.00324,3.7987,3.61068,4.36087,0.00158616,0.00158616,0.00158616
4,24.7167,2.31885,3.49556,2.47087,0.61061,0.11111,0.05372,0.01527,2.93449,3.47259,3.09726,0.00156798,0.00156798,0.00156798
5,30.4292,2.32242,3.42064,2.49435,0.15419,0.13889,0.10622,0.02786,2.55587,3.82259,2.79511,0.00153497,0.00153497,0.00153497
6,36.6534,2.30291,3.36863,2.45321,0.70007,0.13889,0.13611,0.04631,2.56536,3.45856,2.61546,0.00150197,0.00150197,0.00150197
7,42.606,2.20003,3.30084,2.40662,0.09378,0.19444,0.11455,0.04873,2.24796,3.57828,2.42967,0.00146896,0.00146896,0.00146896
8,48.3887,2.14475,3.18442,2.30499,0.46841,0.18841,0.16317,0.05477,2.17152,3.14228,2.29396,0.00143595,0.00143595,0.00143595
9,54.1863,2.16693,3.12368,2.31155,0.28751,0.25106,0.25002,0.10932,2.17767,3.88991,2.44611,0.00140295,0.00140295,0.00140295
10,60.1342,2.1491,3.14794,2.33068,0.28975,0.25966,0.20853,0.06906,2.25039,2.76711,2.3839,0.00136994,0.00136994,0.00136994
11,65.7853,2.14249,3.06936,2.30078,0.50381,0.29867,0.23973,0.10199,2.16361,2.89397,2.35637,0.00133693,0.00133693,0.00133693
12,71.4353,2.07947,3.01699,2.26563,0.36633,0.2657,0.21759,0.07897,2.10704,2.55476,2.22906,0.00130393,0.00130393,0.00130393
13,77.0586,2.06652,2.96779,2.26014,0.36954,0.31522,0.27043,0.09418,2.33158,2.61647,2.41688,0.00127092,0.00127092,0.00127092
14,82.5874,2.03664,2.94755,2.23217,0.32621,0.45035,0.38149,0.14213,2.04199,2.98111,2.29344,0.00123791,0.00123791,0.00123791
15,88.5193,1.95458,2.8809,2.1961,0.76853,0.25,0.2778,0.14404,2.08681,2.56149,2.38873,0.00120491,0.00120491,0.00120491
16,94.1898,1.95503,2.89829,2.19481,0.70955,0.34903,0.3647,0.16872,2.05021,2.3166,2.19036,0.0011719,0.0011719,0.0011719
17,99.9315,1.98915,2.87798,2.20318,0.39944,0.33498,0.32229,0.15962,2.10848,2.57407,2.19687,0.00113889,0.00113889,0.00113889
18,105.946,1.94709,2.7726,2.15942,0.43065,0.29348,0.28687,0.12505,1.97074,2.75538,2.16478,0.00110589,0.00110589,0.00110589
