epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8849,1.59435,0.66129,1,1.01611,0.000329365,0.000329365,0.000329365
2,19.6124,1.15858,0.72581,1,0.74243,0.000649577,0.000649577,0.000649577
3,26.9722,1.032,0.77419,1,0.79358,0.000956589,0.000956589,0.000956589
4,34.1154,0.96495,0.69355,1,0.82715,0.0009406,0.0009406,0.0009406
5,42.2019,0.90606,0.74194,1,0.98413,0.0009208,0.0009208,0.0009208
6,49.8495,0.84111,0.75806,0.98387,0.90918,0.000901,0.000901,0.000901
7,57.3988,0.71359,0.74194,1,0.96777,0.0008812,0.0008812,0.0008812
8,65.2469,0.74674,0.74194,1,0.7865,0.0008614,0.0008614,0.0008614
9,73.6923,0.72003,0.79032,1,0.78589,0.0008416,0.0008416,0.0008416
10,81.829,0.585,0.75806,1,1.0752,0.0008218,0.0008218,0.0008218
11,89.4939,0.65292,0.77419,1,1.24121,0.000802,0.000802,0.000802
12,96.6326,0.54787,0.74194,1,0.91382,0.0007822,0.0007822,0.0007822
13,103.729,0.54699,0.70968,1,1.02441,0.0007624,0.0007624,0.0007624
14,110.872,0.4988,0.80645,0.98387,0.97266,0.0007426,0.0007426,0.0007426
15,118.009,0.47469,0.82258,1,0.69434,0.0007228,0.0007228,0.0007228
16,125.181,0.45965,0.67742,0.98387,1.40137,0.000703,0.000703,0.000703
17,132.24,0.44261,0.75806,1,1.01953,0.0006832,0.0006832,0.0006832
18,139.711,0.44268,0.79032,1,0.93774,0.0006634,0.0006634,0.0006634
19,147.203,0.3868,0.75806,1,0.83179,0.0006436,0.0006436,0.0006436
20,155.001,0.36619,0.82258,1,0.77734,0.0006238,0.0006238,0.0006238
21,162.399,0.35554,0.79032,1,1.04395,0.000604,0.000604,0.000604
22,169.949,0.28734,0.74194,0.98387,0.92529,0.0005842,0.0005842,0.0005842
23,177.43,0.26895,0.80645,1,0.92822,0.0005644,0.0005644,0.0005644
24,184.676,0.28232,0.80645,1,0.91846,0.0005446,0.0005446,0.0005446
25,191.877,0.27544,0.82258,1,0.94556,0.0005248,0.0005248,0.0005248
26,199.023,0.26766,0.79032,1,0.88354,0.000505,0.000505,0.000505
27,206.337,0.26277,0.80645,0.98387,0.68982,0.0004852,0.0004852,0.0004852
28,213.513,0.24807,0.75806,1,0.91724,0.0004654,0.0004654,0.0004654
29,220.894,0.22125,0.79032,1,0.90088,0.0004456,0.0004456,0.0004456
30,228.427,0.1984,0.79032,1,1.01855,0.0004258,0.0004258,0.0004258
31,236.36,0.19067,0.79032,1,0.84692,0.000406,0.000406,0.000406
32,244.021,0.18814,0.75806,1,0.84424,0.0003862,0.0003862,0.0003862
33,251.715,0.19025,0.74194,1,0.97656,0.0003664,0.0003664,0.0003664
34,259.616,0.17951,0.79032,1,0.87646,0.0003466,0.0003466,0.0003466
35,267.951,0.1382,0.74194,1,1.02246,0.0003268,0.0003268,0.0003268
36,276.069,0.15226,0.77419,1,0.79883,0.000307,0.000307,0.000307
37,284.109,0.13658,0.79032,1,0.89111,0.0002872,0.0002872,0.0002872
38,292.001,0.12777,0.80645,1,0.95166,0.0002674,0.0002674,0.0002674
39,300.024,0.1384,0.79032,0.98387,1.03174,0.0002476,0.0002476,0.0002476
40,307.88,0.14191,0.79032,0.96774,1.10107,0.0002278,0.0002278,0.0002278
41,342.167,0.11607,0.77419,0.96774,1.07202,0.000208,0.000208,0.000208
42,350.047,0.12324,0.79032,1,0.95581,0.0001882,0.0001882,0.0001882
43,357.686,0.11547,0.79032,1,0.98413,0.0001684,0.0001684,0.0001684
44,365.367,0.10285,0.77419,0.98387,1.00928,0.0001486,0.0001486,0.0001486
45,373.184,0.09494,0.79032,0.98387,0.95178,0.0001288,0.0001288,0.0001288
46,381.44,0.09811,0.80645,1,0.86157,0.000109,0.000109,0.000109
47,389.387,0.0783,0.79032,1,0.82471,8.92e-05,8.92e-05,8.92e-05
48,397.75,0.08177,0.75806,0.98387,0.91235,6.94e-05,6.94e-05,6.94e-05
49,405.788,0.07918,0.77419,0.98387,0.88013,4.96e-05,4.96e-05,4.96e-05
50,413.818,0.06801,0.75806,0.98387,0.89307,2.98e-05,2.98e-05,2.98e-05
