epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.08198,1.09704,0.83237,1,0.55538,0.000361917,0.000361917,0.000361917
2,12.2915,0.41078,0.87861,1,0.33294,0.000725001,0.000725001,0.000725001
3,16.663,0.29735,0.84393,1,0.50541,0.00108075,0.00108075,0.00108075
4,20.925,0.29741,0.91329,1,0.24135,0.001078,0.001078,0.001078
5,25.199,0.27478,0.95376,1,0.11949,0.001067,0.001067,0.001067
6,29.5688,0.22114,0.95376,1,0.18469,0.00105601,0.00105601,0.00105601
7,33.868,0.18309,0.94798,1,0.16286,0.00104501,0.00104501,0.00104501
8,38.1724,0.19619,0.91908,1,0.27711,0.00103401,0.00103401,0.00103401
9,42.4097,0.23882,0.93642,1,0.18313,0.00102301,0.00102301,0.00102301
10,46.6119,0.13715,0.95954,1,0.10958,0.00101201,0.00101201,0.00101201
11,50.8303,0.11672,0.94798,1,0.12304,0.00100101,0.00100101,0.00100101
12,55.1886,0.14878,0.94798,1,0.20158,0.000990012,0.000990012,0.000990012
13,59.6319,0.13237,0.94798,1,0.12505,0.000979013,0.000979013,0.000979013
14,64.1787,0.13909,0.9711,1,0.06932,0.000968014,0.000968014,0.000968014
15,69.2105,0.13834,0.97688,1,0.06938,0.000957015,0.000957015,0.000957015
16,73.7204,0.08014,0.9422,1,0.16955,0.000946016,0.000946016,0.000946016
17,78.04,0.07328,0.95954,1,0.09253,0.000935018,0.000935018,0.000935018
18,82.371,0.07883,0.95954,1,0.13041,0.000924019,0.000924019,0.000924019
19,86.9226,0.1127,0.95954,1,0.11859,0.00091302,0.00091302,0.00091302
20,92.3411,0.11415,0.96532,1,0.1463,0.000902021,0.000902021,0.000902021
21,97.0152,0.11314,0.94798,1,0.16186,0.000891022,0.000891022,0.000891022
22,101.474,0.12524,0.9711,1,0.1004,0.000880023,0.000880023,0.000880023
23,105.928,0.07321,0.9711,1,0.07205,0.000869024,0.000869024,0.000869024
24,110.383,0.07484,0.96532,1,0.09691,0.000858025,0.000858025,0.000858025
25,114.975,0.06221,0.98266,1,0.04422,0.000847026,0.000847026,0.000847026
26,119.367,0.06526,0.98266,1,0.11312,0.000836027,0.000836027,0.000836027
27,123.726,0.07735,0.95376,1,0.11563,0.000825029,0.000825029,0.000825029
28,128.128,0.07357,0.97688,1,0.12837,0.00081403,0.00081403,0.00081403
29,132.85,0.07297,0.95376,1,0.12468,0.000803031,0.000803031,0.000803031
30,137.868,0.045,0.9711,1,0.13574,0.000792032,0.000792032,0.000792032
31,142.668,0.06846,0.9711,1,0.14393,0.000781033,0.000781033,0.000781033
32,147.284,0.05469,0.97688,1,0.13447,0.000770034,0.000770034,0.000770034
33,151.888,0.06594,0.95954,1,0.23039,0.000759035,0.000759035,0.000759035
34,156.466,0.06904,0.94798,1,0.18109,0.000748036,0.000748036,0.000748036
35,161.018,0.04487,0.96532,1,0.10029,0.000737037,0.000737037,0.000737037
36,165.366,0.04677,0.97688,1,0.04568,0.000726038,0.000726038,0.000726038
37,169.698,0.03856,0.98266,1,0.03571,0.00071504,0.00071504,0.00071504
38,173.959,0.05396,0.97688,1,0.06022,0.000704041,0.000704041,0.000704041
39,178.183,0.03566,0.96532,1,0.08482,0.000693042,0.000693042,0.000693042
40,182.51,0.03831,0.9711,1,0.0811,0.000682043,0.000682043,0.000682043
41,186.87,0.04364,0.98266,1,0.05641,0.000671044,0.000671044,0.000671044
42,191.132,0.04484,0.96532,1,0.11365,0.000660045,0.000660045,0.000660045
43,195.437,0.03261,0.97688,1,0.05985,0.000649046,0.000649046,0.000649046
44,199.877,0.0361,0.96532,1,0.10759,0.000638047,0.000638047,0.000638047
45,204.203,0.02551,0.95954,1,0.25071,0.000627048,0.000627048,0.000627048
46,208.435,0.04668,0.97688,1,0.05976,0.000616049,0.000616049,0.000616049
47,212.989,0.03038,0.98844,1,0.03581,0.000605051,0.000605051,0.000605051
48,217.724,0.01885,0.98844,1,0.0597,0.000594052,0.000594052,0.000594052
49,222.351,0.02807,0.98844,1,0.05088,0.000583053,0.000583053,0.000583053
50,227.069,0.04631,0.99422,1,0.02393,0.000572054,0.000572054,0.000572054
51,231.738,0.03588,0.99422,1,0.01834,0.000561055,0.000561055,0.000561055
52,236.131,0.03332,0.98844,1,0.02489,0.000550056,0.000550056,0.000550056
53,240.536,0.03928,0.98844,1,0.03431,0.000539057,0.000539057,0.000539057
54,245.022,0.03049,0.97688,1,0.05788,0.000528058,0.000528058,0.000528058
55,249.631,0.03147,0.97688,1,0.04207,0.000517059,0.000517059,0.000517059
56,254.469,0.03164,0.96532,1,0.06693,0.00050606,0.00050606,0.00050606
57,259.194,0.02832,0.97688,1,0.05708,0.000495062,0.000495062,0.000495062
58,263.896,0.01895,0.9711,1,0.06409,0.000484063,0.000484063,0.000484063
59,268.304,0.02188,0.9711,1,0.05937,0.000473064,0.000473064,0.000473064
60,272.907,0.0308,0.9711,1,0.05277,0.000462065,0.000462065,0.000462065
61,277.335,0.03044,0.97688,1,0.03578,0.000451066,0.000451066,0.000451066
62,281.968,0.0291,0.98266,1,0.03468,0.000440067,0.000440067,0.000440067
63,286.581,0.01802,0.98266,1,0.05229,0.000429068,0.000429068,0.000429068
64,291.075,0.02361,0.98266,1,0.05112,0.000418069,0.000418069,0.000418069
65,295.582,0.01383,0.97688,1,0.05113,0.00040707,0.00040707,0.00040707
66,300.27,0.02064,0.98266,1,0.03514,0.000396071,0.000396071,0.000396071
67,304.659,0.01497,0.97688,1,0.03092,0.000385073,0.000385073,0.000385073
68,309.275,0.01623,0.97688,1,0.03042,0.000374074,0.000374074,0.000374074
69,314.045,0.0147,0.97688,1,0.04507,0.000363075,0.000363075,0.000363075
70,318.485,0.02182,0.98266,1,0.04048,0.000352076,0.000352076,0.000352076
71,323.107,0.02183,0.98266,1,0.04473,0.000341077,0.000341077,0.000341077
72,327.77,0.02124,0.97688,1,0.07029,0.000330078,0.000330078,0.000330078
73,332.294,0.0192,0.97688,1,0.05958,0.000319079,0.000319079,0.000319079
74,336.896,0.02166,0.98266,1,0.06484,0.00030808,0.00030808,0.00030808
75,341.425,0.0149,0.98266,1,0.09061,0.000297081,0.000297081,0.000297081
