epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.94043,0,35.2867,0,0,0,0,0,0,2.58398,0,0,0,0
2,5.32485,0,35.3558,0,0,0,0,0,0,2.58398,0,1.35826e-05,1.35826e-05,1.35826e-05
3,5.69186,0,35.2204,0,0,0,0,0,0,2.58398,0,2.57506e-05,2.57506e-05,2.57506e-05
4,6.05505,0,35.1705,0,0,0,0,0,0,2.58398,0,3.65038e-05,3.65038e-05,3.65038e-05
5,6.40729,0,35.5477,0,0,0,0,0,0,2.58398,0,4.58423e-05,4.58423e-05,4.58423e-05
6,6.72294,0,35.1888,0,0,0,0,0,0,2.58398,0,5.37661e-05,5.37661e-05,5.37661e-05
7,7.19937,0,35.007,0,0,0,0,0,0,2.58398,0,6.02752e-05,6.02752e-05,6.02752e-05
8,7.66982,0,35.0359,0,0,0,0,0,0,2.58398,0,6.53696e-05,6.53696e-05,6.53696e-05
9,8.1485,0,34.7769,0,0,0,0,0,0,2.58398,0,6.90493e-05,6.90493e-05,6.90493e-05
10,8.68303,0,34.6382,0,0,0,0,0,0,2.58398,0,7.13142e-05,7.13142e-05,7.13142e-05
11,12.1578,0,34.5845,0,0,0,0,0,0,2.58398,0,7.21645e-05,7.21645e-05,7.21645e-05
12,12.7202,0,34.3717,0,0,0,0,0,0,2.58398,0,7.16e-05,7.16e-05,7.16e-05
13,13.2119,0,34.4006,0,0,0,0,0,0,2.58398,0,6.96209e-05,6.96209e-05,6.96209e-05
14,13.7164,0,34.1058,0,0,0,0,0,0,2.58398,0,6.6227e-05,6.6227e-05,6.6227e-05
15,14.2331,0,34.0363,0,0,0,0,0,0,2.58398,0,6.14184e-05,6.14184e-05,6.14184e-05
16,14.6914,0,33.989,0,0,0,0,0,0,2.58398,0,5.51951e-05,5.51951e-05,5.51951e-05
17,15.2006,0,33.7445,0,0,0,0,0,0,2.58398,0,4.75571e-05,4.75571e-05,4.75571e-05
18,15.6721,0,33.7348,0,0,0,0,0,0,2.58398,0,3.85044e-05,3.85044e-05,3.85044e-05
19,16.1526,0,33.7352,0,0,0,0,0,0,2.58398,0,2.8037e-05,2.8037e-05,2.8037e-05
20,16.6001,0,33.6677,0,0,0,0,0,0,2.58398,0,1.61548e-05,1.61548e-05,1.61548e-05
