epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.22699,1.00353,0.74074,1,0.6958,0.000463102,0.000463102,0.000463102
2,13.2916,0.82569,0.88889,1,0.32275,0.000892933,0.000892933,0.000892933
3,16.8275,0.75498,0.77778,1,0.60596,0.00127561,0.00127561,0.00127561
4,20.2449,0.68604,0.74074,1,1.18262,0.00121679,0.00121679,0.00121679
5,23.8486,0.68266,0.74074,1,0.59473,0.00114606,0.00114606,0.00114606
6,27.2843,0.63209,0.77778,1,0.56445,0.00107532,0.00107532,0.00107532
7,30.717,0.62472,0.7037,1,0.62744,0.00100459,0.00100459,0.00100459
8,33.8278,0.54249,0.77778,1,0.77051,0.000933851,0.000933851,0.000933851
9,37.0727,0.48354,0.77778,1,0.66504,0.000863116,0.000863116,0.000863116
10,40.4979,0.48452,0.85185,1,0.30591,0.00079238,0.00079238,0.00079238
11,74.2527,0.45633,0.88889,1,0.4375,0.000721645,0.000721645,0.000721645
12,77.8383,0.43465,0.92593,1,0.4646,0.000650909,0.000650909,0.000650909
13,81.3567,0.3635,0.88889,1,0.34619,0.000580174,0.000580174,0.000580174
14,84.8342,0.36238,0.74074,1,0.63135,0.000509438,0.000509438,0.000509438
15,88.3924,0.28915,0.85185,1,0.66162,0.000438703,0.000438703,0.000438703
16,91.724,0.30634,0.81481,1,0.64551,0.000367967,0.000367967,0.000367967
17,95.1526,0.2875,0.81481,1,0.62451,0.000297232,0.000297232,0.000297232
18,98.5047,0.2782,0.85185,1,0.47656,0.000226497,0.000226497,0.000226497
19,101.94,0.25841,0.81481,1,0.44482,0.000155761,0.000155761,0.000155761
20,106.105,0.19611,0.85185,1,0.42896,8.50255e-05,8.50255e-05,8.50255e-05
