epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.7089,0.63605,0.70588,1,0.50293,0.00035007,0.00035007,0.00035007
2,15.659,0.46186,0.88235,1,0.40747,0.000709714,0.000709714,0.000709714
3,18.2428,0.40235,0.70588,1,1.58887,0.0010621,0.0010621,0.0010621
4,20.768,0.52799,0.88235,1,0.26782,0.00140722,0.00140722,0.00140722
5,23.2269,0.39948,0.82353,1,0.23633,0.00160099,0.00160099,0.00160099
6,25.4983,0.43456,0.82353,1,1.66211,0.00158448,0.00158448,0.00158448
7,27.7434,0.4011,0.88235,1,0.63965,0.00156798,0.00156798,0.00156798
8,30.1223,0.37666,0.82353,1,0.26196,0.00155148,0.00155148,0.00155148
9,32.3736,0.42659,0.88235,1,0.16833,0.00153497,0.00153497,0.00153497
10,34.5749,0.3737,0.70588,1,0.98242,0.00151847,0.00151847,0.00151847
11,36.748,0.396,0.76471,1,0.41382,0.00150197,0.00150197,0.00150197
12,38.8723,0.43638,0.88235,1,0.44531,0.00148546,0.00148546,0.00148546
13,41.0962,0.39661,0.64706,1,1.31836,0.00146896,0.00146896,0.00146896
14,43.389,0.34016,0.82353,1,0.28857,0.00145246,0.00145246,0.00145246
15,45.6683,0.31733,0.88235,1,0.25903,0.00143595,0.00143595,0.00143595
16,47.9061,0.29394,0.88235,1,0.18408,0.00141945,0.00141945,0.00141945
17,50.031,0.26973,0.82353,1,0.48145,0.00140295,0.00140295,0.00140295
18,52.2783,0.25204,0.88235,1,0.4104,0.00138644,0.00138644,0.00138644
19,54.432,0.32071,0.70588,1,1.28809,0.00136994,0.00136994,0.00136994
20,56.604,0.31185,0.88235,1,0.2406,0.00135344,0.00135344,0.00135344
21,58.6928,0.2692,0.88235,1,0.32471,0.00133693,0.00133693,0.00133693
22,60.7578,0.2064,0.88235,1,0.38965,0.00132043,0.00132043,0.00132043
23,62.7302,0.20567,0.88235,1,0.45996,0.00130393,0.00130393,0.00130393
24,64.6846,0.21287,0.88235,1,0.27661,0.00128742,0.00128742,0.00128742
25,66.6289,0.24752,0.88235,1,0.13586,0.00127092,0.00127092,0.00127092
26,68.6278,0.2172,0.82353,1,0.50781,0.00125442,0.00125442,0.00125442
27,70.5873,0.24257,0.76471,1,0.60107,0.00123791,0.00123791,0.00123791
28,72.5519,0.24588,0.82353,1,0.58984,0.00122141,0.00122141,0.00122141
29,74.5981,0.22962,0.88235,1,0.45801,0.00120491,0.00120491,0.00120491
30,76.7424,0.23498,0.88235,1,0.66211,0.0011884,0.0011884,0.0011884
31,78.8856,0.20365,0.76471,1,0.69434,0.0011719,0.0011719,0.0011719
32,80.9312,0.23557,0.82353,1,0.54736,0.0011554,0.0011554,0.0011554
33,82.9932,0.16416,0.88235,1,0.3606,0.00113889,0.00113889,0.00113889
34,85.0365,0.19217,0.94118,1,0.08868,0.00112239,0.00112239,0.00112239
35,87.0674,0.17747,0.82353,1,0.52588,0.00110589,0.00110589,0.00110589
36,89.1058,0.18311,0.94118,1,0.31055,0.00108938,0.00108938,0.00108938
37,91.1887,0.16813,0.94118,1,0.54639,0.00107288,0.00107288,0.00107288
38,93.3027,0.16652,0.82353,1,0.8125,0.00105638,0.00105638,0.00105638
39,95.3232,0.16545,0.94118,1,0.65088,0.00103987,0.00103987,0.00103987
40,97.3537,0.15917,0.94118,1,0.45142,0.00102337,0.00102337,0.00102337
41,99.4082,0.21551,0.82353,1,0.40942,0.00100687,0.00100687,0.00100687
42,101.427,0.17311,0.82353,1,0.64893,0.000990365,0.000990365,0.000990365
43,103.593,0.1415,0.82353,1,1.13379,0.000973861,0.000973861,0.000973861
44,105.792,0.14146,0.88235,1,0.48218,0.000957358,0.000957358,0.000957358
45,107.917,0.19389,0.82353,1,0.56982,0.000940855,0.000940855,0.000940855
46,110.222,0.18307,0.76471,1,1.66309,0.000924352,0.000924352,0.000924352
47,112.392,0.09415,0.76471,1,1.01758,0.000907848,0.000907848,0.000907848
48,114.488,0.11628,0.88235,1,0.38721,0.000891345,0.000891345,0.000891345
49,116.558,0.12753,0.88235,1,0.48291,0.000874842,0.000874842,0.000874842
50,118.749,0.10546,0.88235,1,0.59326,0.000858338,0.000858338,0.000858338
51,120.835,0.15667,0.88235,1,0.34326,0.000841835,0.000841835,0.000841835
52,122.936,0.12783,0.88235,1,0.30371,0.000825332,0.000825332,0.000825332
53,125.109,0.15311,0.88235,1,0.27612,0.000808828,0.000808828,0.000808828
54,127.279,0.11274,0.94118,1,0.12646,0.000792325,0.000792325,0.000792325
55,129.533,0.11619,0.88235,1,0.19592,0.000775822,0.000775822,0.000775822
56,131.756,0.11163,0.88235,1,0.32007,0.000759318,0.000759318,0.000759318
