epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87867,2.44019,4.37611,2.31119,0.00196,0.60897,0.03444,0.01973,2.14461,3.93987,2.18135,0.00035007,0.00035007,0.00035007
2,7.10196,2.31333,3.97354,2.17455,0.00247,0.64744,0.12276,0.02039,2.40682,3.72894,2.62267,0.000709714,0.000709714,0.000709714
3,10.7039,2.37455,3.81823,2.26238,0.50478,0.16667,0.00599,0.00103,2.49303,5.23998,2.76934,0.0010621,0.0010621,0.0010621
4,13.8228,2.4142,3.63265,2.26734,0.00237,0.63462,0.02537,0.01005,2.69143,4.29266,2.9559,0.00140722,0.00140722,0.00140722
5,16.9561,2.37628,3.59465,2.25293,0.07301,0.16026,0.03216,0.01151,2.79728,3.91935,2.65363,0.00160099,0.00160099,0.00160099
6,20.0714,2.3554,3.40949,2.22008,0.53975,0.07692,0.074,0.01453,2.62376,10.048,3.21748,0.00158448,0.00158448,0.00158448
7,23.1217,2.34014,3.3453,2.28001,0.26028,0.12179,0.06358,0.01634,3.13177,4.39354,3.5502,0.00156798,0.00156798,0.00156798
8,26.2231,2.34604,3.28976,2.30432,0.65219,0.11538,0.08471,0.03265,2.60646,4.4727,2.51103,0.00155148,0.00155148,0.00155148
9,29.2742,2.3116,3.13196,2.21017,0.26054,0.19872,0.17508,0.07768,2.46432,4.1421,2.39308,0.00153497,0.00153497,0.00153497
10,32.3924,2.29307,3.17393,2.20204,0.56505,0.19231,0.05047,0.02232,2.51192,3.50631,2.68749,0.00151847,0.00151847,0.00151847
11,35.4496,2.22412,3.08496,2.14579,0.04316,0.23077,0.03876,0.01952,2.39115,10.7168,2.58892,0.00150197,0.00150197,0.00150197
12,38.5416,2.22104,3.03922,2.16629,0.17912,0.3141,0.23166,0.09824,2.20124,3.2422,2.15386,0.00148546,0.00148546,0.00148546
13,41.733,2.26282,2.95868,2.19218,0.11711,0.28205,0.12101,0.05548,2.24384,2.98318,2.1636,0.00146896,0.00146896,0.00146896
14,44.8776,2.19225,2.95181,2.11384,0.33583,0.35256,0.2198,0.09205,2.07409,2.68417,2.0745,0.00145246,0.00145246,0.00145246
15,47.9583,2.18725,2.94185,2.12011,0.75245,0.26923,0.2623,0.12798,2.05264,2.46336,1.9889,0.00143595,0.00143595,0.00143595
16,51.3334,2.10523,2.72613,2.05334,0.21801,0.47436,0.30284,0.12336,1.93342,2.28872,2.03378,0.00141945,0.00141945,0.00141945
17,54.4142,2.11135,2.81217,2.07291,0.79468,0.16672,0.25412,0.10823,2.03835,2.43646,2.15532,0.00140295,0.00140295,0.00140295
18,57.4929,2.09804,2.76014,2.07082,0.21688,0.35256,0.18919,0.09311,2.02404,2.43911,2.03189,0.00138644,0.00138644,0.00138644
19,60.5425,2.06765,2.6568,2.00911,0.87188,0.15385,0.23576,0.1258,2.0959,2.50879,2.10519,0.00136994,0.00136994,0.00136994
20,63.6461,2.07941,2.62731,2.04554,0.52866,0.35256,0.4418,0.15183,2.14507,2.44743,2.07559,0.00135344,0.00135344,0.00135344
21,66.709,2.03955,2.61379,1.99202,0.29301,0.42949,0.36856,0.13479,2.0528,2.24504,1.9235,0.00133693,0.00133693,0.00133693
22,69.7926,1.99579,2.62942,1.99355,0.38905,0.32051,0.22413,0.09044,2.13625,2.52332,2.08717,0.00132043,0.00132043,0.00132043
23,72.852,2.01637,2.63616,2.02314,0.71657,0.11538,0.16131,0.06797,2.00309,2.69911,1.97927,0.00130393,0.00130393,0.00130393
24,75.9532,1.93848,2.53702,1.9406,0.41117,0.30417,0.23089,0.11242,2.00432,3.14145,2.11281,0.00128742,0.00128742,0.00128742
25,79.0362,1.94625,2.51338,1.95439,0.33299,0.27667,0.22807,0.0793,2.03803,2.58373,2.06185,0.00127092,0.00127092,0.00127092
26,82.3826,1.97141,2.48461,1.97217,0.39136,0.35897,0.35967,0.16248,1.94051,2.31687,1.93977,0.00125442,0.00125442,0.00125442
27,85.4865,1.95829,2.46454,1.95496,0.59815,0.51282,0.39216,0.19285,1.86675,2.1997,1.89167,0.00123791,0.00123791,0.00123791
28,88.5691,1.95026,2.42828,1.9543,0.56301,0.4359,0.39786,0.14766,2.02512,2.13576,1.96875,0.00122141,0.00122141,0.00122141
29,91.6201,1.93686,2.38411,1.96451,0.37112,0.4525,0.23348,0.08628,2.06305,2.53346,2.04558,0.00120491,0.00120491,0.00120491
30,94.7216,1.86751,2.29446,1.90512,0.54508,0.35897,0.40844,0.18159,1.97079,2.29242,1.87182,0.0011884,0.0011884,0.0011884
31,97.8133,1.90598,2.2881,1.9228,0.46185,0.35897,0.30779,0.17398,1.86355,2.28076,1.81822,0.0011719,0.0011719,0.0011719
32,100.887,1.84461,2.27568,1.88544,0.3172,0.42949,0.36018,0.17748,1.97399,1.85241,1.98996,0.0011554,0.0011554,0.0011554
33,103.947,1.84336,2.22395,1.89632,0.50778,0.36867,0.35234,0.15984,2.03178,2.16021,2.09288,0.00113889,0.00113889,0.00113889
34,107.028,1.76425,2.09432,1.77151,0.82004,0.23077,0.27945,0.12152,1.91925,2.20595,1.96865,0.00112239,0.00112239,0.00112239
35,110.102,1.82708,2.12674,1.84127,0.77025,0.31505,0.46791,0.27045,1.71949,1.88951,1.82491,0.00110589,0.00110589,0.00110589
36,113.223,1.8169,2.16381,1.84304,0.39124,0.39744,0.32829,0.15613,1.90318,2.28464,1.92092,0.00108938,0.00108938,0.00108938
37,116.539,1.75285,2.05013,1.80626,0.15339,0.23077,0.17657,0.09258,2.24429,2.46722,2.27261,0.00107288,0.00107288,0.00107288
38,119.615,1.73006,2.06593,1.76449,0.24264,0.35256,0.34666,0.18238,1.94556,2.06339,1.91122,0.00105638,0.00105638,0.00105638
39,122.652,1.76282,2.09248,1.78914,0.60556,0.27149,0.3042,0.15994,1.97619,2.39308,2.02297,0.00103987,0.00103987,0.00103987
40,125.742,1.78809,2.06992,1.80806,0.28153,0.27564,0.19219,0.09625,2.04514,2.78614,1.99648,0.00102337,0.00102337,0.00102337
41,128.839,1.76858,2.02785,1.79017,0.28809,0.28205,0.17971,0.10344,1.80824,2.64622,1.9279,0.00100687,0.00100687,0.00100687
42,131.916,1.72124,2.03,1.7752,0.54042,0.51923,0.48807,0.18671,1.9579,2.00019,1.92569,0.000990365,0.000990365,0.000990365
43,134.948,1.7339,2.00329,1.74582,0.34137,0.60329,0.33775,0.14243,1.92663,2.31291,1.93288,0.000973861,0.000973861,0.000973861
44,138.297,1.6401,1.87733,1.68249,0.57654,0.39744,0.39617,0.24692,1.75217,2.22548,1.82106,0.000957358,0.000957358,0.000957358
