epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.19946,0.66781,0.65625,1,0.52246,0.00043342,0.00043342,0.00043342
2,10.1634,0.56466,0.65625,1,0.46362,0.000874763,0.000874763,0.000874763
3,12.5987,0.51399,0.5,1,1.27637,0.00130719,0.00130719,0.00130719
4,15.0622,0.50527,0.78125,1,0.44141,0.00161749,0.00161749,0.00161749
5,17.4763,0.55546,0.8125,1,0.46118,0.00160099,0.00160099,0.00160099
6,19.9025,0.51601,0.59375,1,0.9751,0.00158448,0.00158448,0.00158448
7,22.2844,0.56643,0.625,1,0.67676,0.00156798,0.00156798,0.00156798
8,24.8649,0.55587,0.71875,1,0.54932,0.00155148,0.00155148,0.00155148
9,27.5869,0.44471,0.71875,1,0.50879,0.00153497,0.00153497,0.00153497
10,29.9908,0.51722,0.71875,1,1.06543,0.00151847,0.00151847,0.00151847
11,32.3854,0.45785,0.78125,1,0.62695,0.00150197,0.00150197,0.00150197
12,35.1804,0.42812,0.75,1,0.69727,0.00148546,0.00148546,0.00148546
13,37.7961,0.44315,0.875,1,0.38086,0.00146896,0.00146896,0.00146896
14,40.3713,0.46264,0.65625,1,0.83301,0.00145246,0.00145246,0.00145246
15,42.7409,0.38314,0.84375,1,0.75,0.00143595,0.00143595,0.00143595
16,45.0181,0.46313,0.625,1,1.30566,0.00141945,0.00141945,0.00141945
17,47.4134,0.43196,0.75,1,0.66846,0.00140295,0.00140295,0.00140295
18,49.7263,0.35542,0.78125,1,0.51709,0.00138644,0.00138644,0.00138644
19,51.9753,0.43357,0.875,1,0.32935,0.00136994,0.00136994,0.00136994
20,54.216,0.36916,0.78125,1,0.67285,0.00135344,0.00135344,0.00135344
21,56.5401,0.37052,0.78125,1,0.71436,0.00133693,0.00133693,0.00133693
22,59.1157,0.39057,0.78125,1,0.76123,0.00132043,0.00132043,0.00132043
23,61.4284,0.40241,0.75,1,0.55664,0.00130393,0.00130393,0.00130393
24,63.7711,0.36775,0.8125,1,0.43555,0.00128742,0.00128742,0.00128742
25,66.0221,0.34762,0.90625,1,0.36768,0.00127092,0.00127092,0.00127092
26,68.3786,0.41878,0.84375,1,0.27271,0.00125442,0.00125442,0.00125442
27,70.7608,0.38441,0.8125,1,0.35474,0.00123791,0.00123791,0.00123791
28,73.1718,0.35221,0.75,1,0.35181,0.00122141,0.00122141,0.00122141
29,75.633,0.32796,0.8125,1,0.46875,0.00120491,0.00120491,0.00120491
30,78.1279,0.33549,0.8125,1,0.64111,0.0011884,0.0011884,0.0011884
31,80.4781,0.32999,0.6875,1,0.61816,0.0011719,0.0011719,0.0011719
32,82.6945,0.34629,0.84375,1,0.5459,0.0011554,0.0011554,0.0011554
33,84.7896,0.31041,0.71875,1,0.41333,0.00113889,0.00113889,0.00113889
34,87.139,0.29047,0.8125,1,0.34473,0.00112239,0.00112239,0.00112239
35,89.6104,0.2826,0.8125,1,0.44287,0.00110589,0.00110589,0.00110589
36,92.5022,0.25731,0.71875,1,0.56641,0.00108938,0.00108938,0.00108938
37,95.0977,0.28049,0.75,1,0.57373,0.00107288,0.00107288,0.00107288
38,97.685,0.26638,0.875,1,0.29492,0.00105638,0.00105638,0.00105638
39,100.247,0.25261,0.84375,1,0.31104,0.00103987,0.00103987,0.00103987
40,102.848,0.24416,0.84375,1,0.48145,0.00102337,0.00102337,0.00102337
41,105.415,0.2348,0.84375,1,0.39355,0.00100687,0.00100687,0.00100687
42,107.798,0.32221,0.8125,1,0.6582,0.000990365,0.000990365,0.000990365
43,110.293,0.28765,0.875,1,0.35498,0.000973861,0.000973861,0.000973861
44,112.727,0.28221,0.84375,1,0.51074,0.000957358,0.000957358,0.000957358
45,115.092,0.33438,0.84375,1,0.40771,0.000940855,0.000940855,0.000940855
46,117.51,0.28136,0.8125,1,0.48193,0.000924352,0.000924352,0.000924352
47,120.015,0.2436,0.84375,1,0.37622,0.000907848,0.000907848,0.000907848
48,122.497,0.23828,0.65625,1,0.92578,0.000891345,0.000891345,0.000891345
49,125.141,0.18636,0.84375,1,0.5791,0.000874842,0.000874842,0.000874842
50,127.523,0.29672,0.8125,1,0.4563,0.000858338,0.000858338,0.000858338
51,129.971,0.21426,0.84375,1,0.59814,0.000841835,0.000841835,0.000841835
52,132.326,0.20736,0.78125,1,0.47095,0.000825332,0.000825332,0.000825332
53,134.678,0.26455,0.78125,1,0.67236,0.000808828,0.000808828,0.000808828
54,137.175,0.19647,0.84375,1,0.66748,0.000792325,0.000792325,0.000792325
55,139.555,0.1763,0.8125,1,0.49414,0.000775822,0.000775822,0.000775822
56,141.839,0.19936,0.75,1,0.51758,0.000759318,0.000759318,0.000759318
57,144.058,0.18445,0.75,1,0.55566,0.000742815,0.000742815,0.000742815
58,146.422,0.15679,0.75,1,0.50439,0.000726312,0.000726312,0.000726312
59,148.775,0.15106,0.8125,1,0.51709,0.000709809,0.000709809,0.000709809
60,150.987,0.17889,0.75,1,0.78906,0.000693305,0.000693305,0.000693305
61,153.28,0.16284,0.78125,1,0.45117,0.000676802,0.000676802,0.000676802
62,155.627,0.13162,0.75,1,0.53467,0.000660299,0.000660299,0.000660299
63,157.869,0.3145,0.8125,1,0.47485,0.000643795,0.000643795,0.000643795
64,160.108,0.18731,0.8125,1,0.63672,0.000627292,0.000627292,0.000627292
65,162.424,0.16191,0.875,1,0.30737,0.000610789,0.000610789,0.000610789
66,164.792,0.22698,0.875,1,0.35059,0.000594286,0.000594286,0.000594286
67,167.321,0.16385,0.90625,1,0.29614,0.000577782,0.000577782,0.000577782
68,169.701,0.14977,0.875,1,0.25098,0.000561279,0.000561279,0.000561279
69,172.325,0.13879,0.84375,1,0.49023,0.000544776,0.000544776,0.000544776
70,174.88,0.20614,0.875,1,0.33032,0.000528272,0.000528272,0.000528272
71,177.332,0.14105,0.84375,1,0.34082,0.000511769,0.000511769,0.000511769
72,179.735,0.10534,0.8125,1,0.39453,0.000495266,0.000495266,0.000495266
73,182.136,0.14526,0.78125,1,0.42871,0.000478762,0.000478762,0.000478762
74,184.488,0.12202,0.8125,1,0.48633,0.000462259,0.000462259,0.000462259
75,186.876,0.11584,0.8125,1,0.46045,0.000445756,0.000445756,0.000445756
76,189.256,0.09497,0.8125,1,0.58008,0.000429253,0.000429253,0.000429253
77,191.514,0.11123,0.78125,1,0.5542,0.000412749,0.000412749,0.000412749
78,193.961,0.17134,0.78125,1,0.63135,0.000396246,0.000396246,0.000396246
79,196.494,0.09849,0.84375,1,0.61621,0.000379743,0.000379743,0.000379743
80,198.916,0.12211,0.78125,1,0.81982,0.000363239,0.000363239,0.000363239
81,201.448,0.1134,0.8125,1,0.52686,0.000346736,0.000346736,0.000346736
82,204.069,0.15421,0.8125,1,0.40112,0.000330233,0.000330233,0.000330233
83,206.55,0.09111,0.78125,1,0.56445,0.000313729,0.000313729,0.000313729
84,209.128,0.07742,0.78125,1,0.5166,0.000297226,0.000297226,0.000297226
85,211.578,0.10688,0.8125,1,0.35498,0.000280723,0.000280723,0.000280723
86,214.134,0.07843,0.84375,1,0.33618,0.00026422,0.00026422,0.00026422
87,216.598,0.1524,0.8125,1,0.43433,0.000247716,0.000247716,0.000247716
88,219.051,0.1027,0.78125,1,0.77393,0.000231213,0.000231213,0.000231213
89,221.428,0.0775,0.78125,1,0.61182,0.00021471,0.00021471,0.00021471
90,223.909,0.177,0.78125,1,0.49512,0.000198206,0.000198206,0.000198206
91,252.729,0.08565,0.78125,1,0.61621,0.000181703,0.000181703,0.000181703
92,255.228,0.13997,0.78125,1,0.5498,0.0001652,0.0001652,0.0001652
93,257.852,0.09433,0.8125,1,0.48267,0.000148696,0.000148696,0.000148696
94,260.217,0.0685,0.8125,1,0.43335,0.000132193,0.000132193,0.000132193
95,262.523,0.08774,0.84375,1,0.3877,0.00011569,0.00011569,0.00011569
96,265.1,0.08284,0.84375,1,0.37671,9.91865e-05,9.91865e-05,9.91865e-05
97,267.46,0.1048,0.8125,1,0.4353,8.26832e-05,8.26832e-05,8.26832e-05
98,270.027,0.08952,0.8125,1,0.45264,6.61799e-05,6.61799e-05,6.61799e-05
99,272.464,0.07693,0.8125,1,0.50391,4.96766e-05,4.96766e-05,4.96766e-05
100,274.718,0.07181,0.8125,1,0.49585,3.31733e-05,3.31733e-05,3.31733e-05
