epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.668,0.66781,0.65625,1,0.52246,0.00043342,0.00043342,0.00043342
2,14.1889,0.56466,0.65625,1,0.46362,0.000874763,0.000874763,0.000874763
3,16.6592,0.51399,0.5,1,1.27637,0.00130719,0.00130719,0.00130719
4,19.0569,0.50527,0.78125,1,0.44141,0.00161749,0.00161749,0.00161749
5,21.5036,0.55546,0.8125,1,0.46118,0.00160099,0.00160099,0.00160099
6,24.0666,0.51601,0.59375,1,0.9751,0.00158448,0.00158448,0.00158448
7,26.7345,0.56643,0.625,1,0.67676,0.00156798,0.00156798,0.00156798
8,29.306,0.55587,0.71875,1,0.54932,0.00155148,0.00155148,0.00155148
9,31.9241,0.44471,0.71875,1,0.50879,0.00153497,0.00153497,0.00153497
10,34.5823,0.51722,0.71875,1,1.06543,0.00151847,0.00151847,0.00151847
11,37.2512,0.45785,0.78125,1,0.62695,0.00150197,0.00150197,0.00150197
12,40.0226,0.42812,0.75,1,0.69727,0.00148546,0.00148546,0.00148546
13,42.4874,0.44315,0.875,1,0.38086,0.00146896,0.00146896,0.00146896
14,44.9942,0.46264,0.65625,1,0.83301,0.00145246,0.00145246,0.00145246
15,47.5166,0.38314,0.84375,1,0.75,0.00143595,0.00143595,0.00143595
16,50.029,0.46313,0.625,1,1.30566,0.00141945,0.00141945,0.00141945
17,52.4639,0.43196,0.75,1,0.66846,0.00140295,0.00140295,0.00140295
18,54.9888,0.35542,0.78125,1,0.51709,0.00138644,0.00138644,0.00138644
19,57.4464,0.43357,0.875,1,0.32935,0.00136994,0.00136994,0.00136994
20,60.0581,0.36916,0.78125,1,0.67285,0.00135344,0.00135344,0.00135344
21,62.4402,0.37052,0.78125,1,0.71436,0.00133693,0.00133693,0.00133693
22,65.0156,0.39057,0.78125,1,0.76123,0.00132043,0.00132043,0.00132043
23,67.5723,0.40241,0.75,1,0.55664,0.00130393,0.00130393,0.00130393
24,70.4111,0.36775,0.8125,1,0.43555,0.00128742,0.00128742,0.00128742
25,73.1481,0.34762,0.90625,1,0.36768,0.00127092,0.00127092,0.00127092
26,75.6114,0.41878,0.84375,1,0.27271,0.00125442,0.00125442,0.00125442
27,78.1887,0.38441,0.8125,1,0.35474,0.00123791,0.00123791,0.00123791
28,80.6225,0.35221,0.75,1,0.35181,0.00122141,0.00122141,0.00122141
29,83.0864,0.32796,0.8125,1,0.46875,0.00120491,0.00120491,0.00120491
30,85.7853,0.33549,0.8125,1,0.64111,0.0011884,0.0011884,0.0011884
31,88.3177,0.32999,0.6875,1,0.61816,0.0011719,0.0011719,0.0011719
32,90.8864,0.34629,0.84375,1,0.5459,0.0011554,0.0011554,0.0011554
33,93.4597,0.31041,0.71875,1,0.41333,0.00113889,0.00113889,0.00113889
