epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22639,2.50565,4.47481,2.34209,0.00224,0.64744,0.12404,0.05756,2.09602,3.84946,1.9269,0.00035007,0.00035007,0.00035007
2,7.63639,2.40611,3.96993,2.20411,0.00301,0.72436,0.17041,0.05238,1.95996,3.38718,1.72168,0.000709714,0.000709714,0.000709714
3,11.2924,2.43318,3.89037,2.25806,0.00408,0.51923,0.03549,0.00819,2.39302,3.61229,2.23716,0.0010621,0.0010621,0.0010621
4,14.5294,2.40961,3.70588,2.27387,0.00219,0.47436,0.00895,0.00441,2.58552,3.77704,2.60072,0.00140722,0.00140722,0.00140722
5,17.6341,2.32923,3.55996,2.21967,0.02377,0.16026,0.01772,0.00695,2.61055,3.79545,2.53776,0.00160099,0.00160099,0.00160099
6,20.9594,2.34939,3.43164,2.26105,0.15802,0.23718,0.07663,0.02514,2.42659,6.81635,2.93989,0.00158448,0.00158448,0.00158448
7,24.2214,2.32525,3.36831,2.32931,0.07262,0.19872,0.03228,0.01604,2.39387,5.71722,2.62266,0.00156798,0.00156798,0.00156798
8,27.5064,2.29644,3.34531,2.25168,0.00144,0.39103,0.00123,0.00063,2.84374,518.1,3.7944,0.00155148,0.00155148,0.00155148
9,30.7306,2.28937,3.18346,2.22375,0.00736,0.26923,0.00633,0.0022,2.58459,135.516,2.73069,0.00153497,0.00153497,0.00153497
10,33.8455,2.28735,3.20683,2.2598,0.15205,0.51282,0.13227,0.04703,2.20614,27.3854,2.47514,0.00151847,0.00151847,0.00151847
11,37.1457,2.23689,3.10356,2.22987,0.38094,0.39777,0.21892,0.09789,2.09812,3.41748,2.15992,0.00150197,0.00150197,0.00150197
12,40.422,2.20855,3.02708,2.20588,0.58327,0.19872,0.22192,0.08202,2.05534,3.31664,2.13849,0.00148546,0.00148546,0.00148546
13,43.5181,2.15737,2.9119,2.20358,0.31065,0.3141,0.2426,0.08376,2.11981,2.5015,2.14605,0.00146896,0.00146896,0.00146896
14,46.6075,2.18115,2.87,2.16251,0.39274,0.27564,0.26912,0.10794,2.09381,2.69961,2.11246,0.00145246,0.00145246,0.00145246
15,49.6384,2.11251,2.79781,2.12435,0.53463,0.47436,0.38635,0.14083,2.11328,2.51487,2.09469,0.00143595,0.00143595,0.00143595
16,52.6927,2.11346,2.85083,2.12243,0.21088,0.30769,0.2863,0.14255,1.86837,2.35827,1.96107,0.00141945,0.00141945,0.00141945
17,55.9631,2.11687,2.77925,2.14406,0.45339,0.27564,0.32,0.13346,1.92747,2.35048,2.0076,0.00140295,0.00140295,0.00140295
18,59.4172,2.10094,2.7208,2.13909,0.54853,0.3141,0.2476,0.09131,2.12622,2.9533,2.10434,0.00138644,0.00138644,0.00138644
19,62.8021,2.02966,2.59388,2.04708,0.41206,0.3141,0.25341,0.09524,1.93477,3.11711,1.99958,0.00136994,0.00136994,0.00136994
20,66.0125,2.03352,2.68892,2.06321,0.82143,0.23077,0.3053,0.13792,2.15943,2.66967,2.11305,0.00135344,0.00135344,0.00135344
21,69.1329,2.05196,2.57392,2.03691,0.30156,0.3711,0.3535,0.13986,2.12422,2.65601,2.02165,0.00133693,0.00133693,0.00133693
22,72.2953,1.97802,2.5187,1.9428,0.19997,0.39103,0.20787,0.10281,2.1637,2.44708,2.05723,0.00132043,0.00132043,0.00132043
23,75.4284,1.99134,2.62586,1.97794,0.43738,0.3141,0.37247,0.16508,2.03589,2.29696,2.00874,0.00130393,0.00130393,0.00130393
24,78.7845,1.87347,2.50849,1.90152,0.3209,0.4359,0.33907,0.1579,2.19548,3.15894,2.19717,0.00128742,0.00128742,0.00128742
25,82.1761,1.97912,2.46377,1.94825,0.63873,0.3141,0.41112,0.17285,1.82487,2.34652,1.87863,0.00127092,0.00127092,0.00127092
26,85.4449,2.00055,2.47967,2.00234,0.37767,0.51923,0.37547,0.15395,1.85066,2.179,2.06361,0.00125442,0.00125442,0.00125442
27,88.6354,1.95081,2.41015,1.98312,0.28514,0.3141,0.16479,0.08028,1.88926,2.45896,1.93638,0.00123791,0.00123791,0.00123791
28,91.7895,1.92768,2.42821,1.94109,0.50866,0.32563,0.31141,0.10429,1.8862,2.33334,2.03594,0.00122141,0.00122141,0.00122141
29,94.8539,1.94731,2.43057,1.96153,0.37209,0.22526,0.18455,0.09076,2.06128,2.35257,2.14919,0.00120491,0.00120491,0.00120491
30,97.9162,1.91347,2.31317,1.93609,0.50691,0.23718,0.24264,0.0983,1.98378,2.72977,2.03962,0.0011884,0.0011884,0.0011884
31,101.012,1.90314,2.30447,1.94,0.60637,0.3141,0.28703,0.11216,2.00339,2.62189,2.11751,0.0011719,0.0011719,0.0011719
32,104.347,1.8845,2.29507,1.941,0.28344,0.27564,0.21771,0.11181,2.02189,2.65532,2.0316,0.0011554,0.0011554,0.0011554
33,107.48,1.91744,2.3146,1.94521,0.56597,0.3137,0.26408,0.11962,2.00123,2.66146,2.03986,0.00113889,0.00113889,0.00113889
34,110.524,1.8732,2.25359,1.87027,0.19006,0.33069,0.20402,0.08314,2.0253,2.51252,2.09823,0.00112239,0.00112239,0.00112239
35,113.532,1.81287,2.17625,1.85185,0.3853,0.19872,0.20037,0.09082,2.11282,2.62397,2.24114,0.00110589,0.00110589,0.00110589
36,116.797,1.82453,2.11697,1.85448,0.17433,0.3141,0.21125,0.10076,2.16535,2.49969,2.2519,0.00108938,0.00108938,0.00108938
37,120.154,1.8394,2.0914,1.85606,0.40566,0.19231,0.26764,0.14269,1.91304,2.6707,2.04469,0.00107288,0.00107288,0.00107288
38,123.309,1.77792,2.09058,1.81294,0.6523,0.27564,0.3397,0.16301,2.04046,2.37423,2.05805,0.00105638,0.00105638,0.00105638
39,126.763,1.76887,2.02757,1.80342,0.4398,0.44231,0.30491,0.12898,2.32482,2.73166,2.28448,0.00103987,0.00103987,0.00103987
40,129.928,1.76721,2.00442,1.80926,0.51904,0.35897,0.319,0.12297,2.00073,2.45084,2.02218,0.00102337,0.00102337,0.00102337
41,133.04,1.72482,1.97681,1.79753,0.31365,0.35897,0.3518,0.12653,2.0343,2.30377,2.08228,0.00100687,0.00100687,0.00100687
42,136.134,1.77586,1.98236,1.82483,0.3693,0.44231,0.2468,0.09069,1.84788,2.74249,1.91875,0.000990365,0.000990365,0.000990365
43,139.192,1.73049,1.93998,1.78527,0.78151,0.26923,0.28045,0.14621,1.76717,2.24556,1.89212,0.000973861,0.000973861,0.000973861
44,142.526,1.71112,1.91606,1.75044,0.49604,0.22435,0.26749,0.09088,2.16872,2.66609,2.13361,0.000957358,0.000957358,0.000957358
45,145.594,1.69295,1.93671,1.76332,0.51028,0.35897,0.32086,0.16093,2.0835,2.61416,2.10528,0.000940855,0.000940855,0.000940855
46,148.824,1.65552,1.80747,1.71926,0.51082,0.39744,0.38043,0.17227,2.01369,2.01606,2.016,0.000924352,0.000924352,0.000924352
47,151.953,1.69724,1.89735,1.73811,0.49802,0.3141,0.30437,0.14185,1.98575,2.43158,2.07901,0.000907848,0.000907848,0.000907848
48,155.042,1.67266,1.80161,1.69464,0.28638,0.27564,0.27161,0.09195,2.05083,2.58003,2.06487,0.000891345,0.000891345,0.000891345
49,158.229,1.62651,1.7855,1.68445,0.53986,0.27564,0.32426,0.15588,2.05019,2.27708,2.16498,0.000874842,0.000874842,0.000874842
50,161.533,1.66338,1.83609,1.72554,0.36643,0.27564,0.27831,0.11332,2.01747,2.39165,2.07808,0.000858338,0.000858338,0.000858338
51,164.708,1.6684,1.84643,1.73951,0.59498,0.41863,0.40078,0.18177,2.04803,2.41342,2.04887,0.000841835,0.000841835,0.000841835
52,167.921,1.63876,1.73289,1.69313,0.71238,0.49832,0.50773,0.23295,1.90302,2.2551,2.01924,0.000825332,0.000825332,0.000825332
53,171.231,1.59843,1.77244,1.67996,0.63328,0.39744,0.43543,0.15687,2.08455,2.38921,2.18169,0.000808828,0.000808828,0.000808828
54,174.49,1.60165,1.80176,1.67169,0.75144,0.44231,0.4738,0.21024,1.81643,2.16227,1.83187,0.000792325,0.000792325,0.000792325
55,177.679,1.59381,1.72658,1.65586,0.63545,0.4824,0.50552,0.16484,2.11082,2.35154,2.09781,0.000775822,0.000775822,0.000775822
56,180.877,1.61316,1.72301,1.66092,0.68756,0.39744,0.36996,0.19392,2.03154,2.15323,2.10805,0.000759318,0.000759318,0.000759318
57,184.012,1.55938,1.70449,1.66114,0.69001,0.30871,0.38998,0.19403,1.99067,2.2522,1.96607,0.000742815,0.000742815,0.000742815
58,187.161,1.54153,1.69897,1.64396,0.76328,0.3121,0.41164,0.22005,2.00483,2.32863,2.0093,0.000726312,0.000726312,0.000726312
59,190.232,1.58953,1.70292,1.68301,0.78062,0.44231,0.49105,0.19751,1.98491,2.3574,1.96639,0.000709809,0.000709809,0.000709809
60,193.323,1.52102,1.63699,1.61904,0.53039,0.48077,0.46129,0.15412,2.02858,2.43646,2.02713,0.000693305,0.000693305,0.000693305
61,196.687,1.53974,1.65682,1.64021,0.46083,0.5683,0.46789,0.18331,2.16559,2.28727,2.20003,0.000676802,0.000676802,0.000676802
62,199.925,1.53952,1.60914,1.6445,0.71955,0.39744,0.43906,0.16719,2.19496,2.12953,2.24416,0.000660299,0.000660299,0.000660299
63,203.088,1.48205,1.5335,1.57929,0.83898,0.48077,0.60153,0.2918,2.02989,2.04652,2.05817,0.000643795,0.000643795,0.000643795
64,206.349,1.50718,1.54588,1.59495,0.70629,0.47272,0.48468,0.2175,2.16389,2.04347,2.16176,0.000627292,0.000627292,0.000627292
