epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2667,1.56566,0.58209,1,0.97786,0.000329861,0.000329861,0.000329861
2,19.7391,1.08686,0.70149,1,1.31315,0.000650063,0.000650063,0.000650063
3,27.6288,1.01567,0.68657,0.97015,1.20866,0.000957065,0.000957065,0.000957065
4,35.4222,0.93132,0.68657,0.97015,0.80428,0.0009406,0.0009406,0.0009406
5,43.0892,0.88745,0.67164,0.98507,0.86068,0.0009208,0.0009208,0.0009208
6,50.9299,0.80011,0.71642,1,0.6674,0.000901,0.000901,0.000901
7,58.9066,0.75694,0.73134,1,0.78223,0.0008812,0.0008812,0.0008812
8,66.5849,0.68439,0.67164,1,0.81222,0.0008614,0.0008614,0.0008614
9,74.2931,0.64869,0.74627,0.98507,0.59997,0.0008416,0.0008416,0.0008416
10,82.1972,0.62559,0.77612,0.98507,0.84172,0.0008218,0.0008218,0.0008218
11,89.9836,0.56853,0.83582,1,0.85758,0.000802,0.000802,0.000802
12,97.4748,0.53921,0.74627,1,1.375,0.0007822,0.0007822,0.0007822
13,105.13,0.53836,0.77612,0.97015,1.53825,0.0007624,0.0007624,0.0007624
14,112.982,0.50581,0.77612,1,0.48062,0.0007426,0.0007426,0.0007426
15,120.838,0.48475,0.76119,1,0.72532,0.0007228,0.0007228,0.0007228
16,128.696,0.44971,0.80597,0.98507,0.6193,0.000703,0.000703,0.000703
17,136.293,0.39336,0.80597,0.98507,0.81006,0.0006832,0.0006832,0.0006832
18,143.888,0.38918,0.79104,1,0.65405,0.0006634,0.0006634,0.0006634
19,151.541,0.35556,0.74627,1,0.57886,0.0006436,0.0006436,0.0006436
20,159.126,0.35971,0.8209,1,0.81169,0.0006238,0.0006238,0.0006238
21,166.584,0.34209,0.71642,0.98507,2.10905,0.000604,0.000604,0.000604
22,174.081,0.29897,0.74627,1,1.65771,0.0005842,0.0005842,0.0005842
23,181.465,0.30468,0.83582,1,0.48357,0.0005644,0.0005644,0.0005644
24,189.11,0.32108,0.76119,1,1.03955,0.0005446,0.0005446,0.0005446
25,196.968,0.26572,0.73134,1,1.65202,0.0005248,0.0005248,0.0005248
26,204.563,0.24497,0.74627,1,0.83317,0.000505,0.000505,0.000505
27,212.365,0.24713,0.76119,1,0.69539,0.0004852,0.0004852,0.0004852
28,220.036,0.20209,0.76119,1,0.7333,0.0004654,0.0004654,0.0004654
29,227.416,0.20954,0.71642,0.98507,2.04883,0.0004456,0.0004456,0.0004456
30,234.731,0.20054,0.74627,1,0.85261,0.0004258,0.0004258,0.0004258
31,242.121,0.18287,0.79104,1,0.68425,0.000406,0.000406,0.000406
32,249.462,0.19708,0.77612,0.98507,0.73197,0.0003862,0.0003862,0.0003862
33,257.149,0.18084,0.74627,1,1.06104,0.0003664,0.0003664,0.0003664
34,264.557,0.16902,0.79104,0.98507,0.73059,0.0003466,0.0003466,0.0003466
35,272.138,0.17972,0.8209,1,0.92936,0.0003268,0.0003268,0.0003268
36,279.669,0.14936,0.74627,0.98507,1.81868,0.000307,0.000307,0.000307
37,287.232,0.13316,0.79104,1,0.92822,0.0002872,0.0002872,0.0002872
38,294.901,0.14574,0.80597,1,1.20426,0.0002674,0.0002674,0.0002674
39,302.485,0.14999,0.77612,1,0.78159,0.0002476,0.0002476,0.0002476
40,310.118,0.13537,0.77612,0.98507,0.66688,0.0002278,0.0002278,0.0002278
41,339.477,0.12993,0.8209,1,0.65055,0.000208,0.000208,0.000208
42,347.216,0.09591,0.77612,0.98507,0.71814,0.0001882,0.0001882,0.0001882
43,355.456,0.11248,0.74627,0.98507,0.7571,0.0001684,0.0001684,0.0001684
44,363.449,0.10033,0.79104,0.98507,0.79525,0.0001486,0.0001486,0.0001486
45,371.528,0.10417,0.77612,0.98507,1.1416,0.0001288,0.0001288,0.0001288
46,379.336,0.10793,0.79104,0.98507,0.67312,0.000109,0.000109,0.000109
47,387.43,0.09887,0.76119,0.98507,0.725,8.92e-05,8.92e-05,8.92e-05
48,395.076,0.09074,0.77612,0.98507,0.87769,6.94e-05,6.94e-05,6.94e-05
49,402.832,0.10073,0.74627,0.98507,1.4152,4.96e-05,4.96e-05,4.96e-05
50,410.516,0.08174,0.80597,0.98507,1.05648,2.98e-05,2.98e-05,2.98e-05
