epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.74859,2.44019,4.37611,2.31119,0.00196,0.60897,0.03444,0.01973,2.14461,3.93987,2.18135,0.00035007,0.00035007,0.00035007
2,6.97908,2.31333,3.97354,2.17455,0.00247,0.64744,0.12276,0.02039,2.40682,3.72894,2.62267,0.000709714,0.000709714,0.000709714
3,10.7306,2.37455,3.81823,2.26238,0.50478,0.16667,0.00599,0.00103,2.49303,5.23998,2.76934,0.0010621,0.0010621,0.0010621
4,14.0976,2.4142,3.63265,2.26734,0.00237,0.63462,0.02537,0.01005,2.69143,4.29266,2.9559,0.00140722,0.00140722,0.00140722
5,17.4286,2.37628,3.59465,2.25293,0.07301,0.16026,0.03216,0.01151,2.79728,3.91935,2.65363,0.00160099,0.00160099,0.00160099
6,20.6469,2.3554,3.40949,2.22008,0.53975,0.07692,0.074,0.01453,2.62376,10.048,3.21748,0.00158448,0.00158448,0.00158448
7,23.7504,2.34014,3.3453,2.28001,0.26028,0.12179,0.06358,0.01634,3.13177,4.39354,3.5502,0.00156798,0.00156798,0.00156798
