epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.745,2.0205,4.1954,2.15622,0.89389,0.06061,0.08128,0.03451,1.93034,3.71627,2.00742,0.000329365,0.000329365,0.000329365
2,30.4338,1.94668,3.80746,2.12376,0.12422,0.28132,0.12263,0.03927,2.40591,4.88648,2.43973,0.000649577,0.000649577,0.000649577
3,43.364,1.97975,3.67143,2.17695,0.56533,0.16438,0.13623,0.0561,2.20678,4.11136,2.52245,0.000956589,0.000956589,0.000956589
4,56.4656,1.9683,3.57585,2.16287,0.45022,0.15765,0.09457,0.03866,2.58695,3.706,2.72711,0.0009406,0.0009406,0.0009406
5,70.0189,1.92508,3.43193,2.13956,0.4104,0.14653,0.19941,0.07858,2.10364,3.21087,2.39641,0.0009208,0.0009208,0.0009208
6,84.0045,1.83954,3.31552,2.11465,0.31956,0.19521,0.18909,0.07901,2.14491,3.03156,2.35773,0.000901,0.000901,0.000901
7,97.8407,1.88032,3.2745,2.12781,0.27521,0.25844,0.13503,0.04655,2.36171,3.66841,2.48758,0.0008812,0.0008812,0.0008812
8,111.758,1.82901,3.17019,2.0841,0.16747,0.2632,0.18918,0.09768,2.09422,3.0939,2.30917,0.0008614,0.0008614,0.0008614
9,125.084,1.80119,3.1097,2.05467,0.54671,0.19607,0.24062,0.10752,2.09704,2.79271,2.26754,0.0008416,0.0008416,0.0008416
10,138.257,1.79324,3.06424,2.07248,0.86855,0.21573,0.26025,0.0916,2.02057,2.86881,2.30143,0.0008218,0.0008218,0.0008218
11,151.516,1.76911,2.9932,2.04735,0.39453,0.25019,0.23291,0.10987,2.0894,2.91473,2.21471,0.000802,0.000802,0.000802
12,164.754,1.7489,2.93794,1.99574,0.44799,0.34017,0.32071,0.13747,1.92081,2.63956,2.14791,0.0007822,0.0007822,0.0007822
13,177.818,1.74102,2.87096,2.00771,0.40387,0.29316,0.26255,0.12017,1.88032,2.77401,2.06515,0.0007624,0.0007624,0.0007624
14,190.838,1.70328,2.83031,1.97829,0.35065,0.37511,0.30638,0.15275,1.92614,2.61413,2.10537,0.0007426,0.0007426,0.0007426
15,203.946,1.6922,2.81117,1.99072,0.3671,0.25936,0.3039,0.15566,1.83021,2.57656,2.02337,0.0007228,0.0007228,0.0007228
16,217.477,1.67168,2.71999,1.96744,0.53332,0.35196,0.37868,0.18519,1.94593,2.57872,2.16026,0.000703,0.000703,0.000703
17,230.49,1.65209,2.70977,1.95172,0.43446,0.33277,0.30806,0.15618,1.88423,2.72516,2.08546,0.0006832,0.0006832,0.0006832
18,243.81,1.68626,2.67518,1.9655,0.37466,0.41104,0.41201,0.16174,2.00235,2.42416,2.21384,0.0006634,0.0006634,0.0006634
19,257.155,1.65931,2.57101,1.92536,0.30666,0.35789,0.31143,0.1455,1.92179,2.60729,2.12609,0.0006436,0.0006436,0.0006436
20,270.272,1.6449,2.61047,1.91062,0.33512,0.3447,0.29827,0.14899,1.86559,2.5477,2.09927,0.0006238,0.0006238,0.0006238
21,283.598,1.62597,2.54897,1.89442,0.29592,0.39096,0.32281,0.14323,1.89485,2.53696,2.11077,0.000604,0.000604,0.000604
22,296.67,1.58464,2.46622,1.87367,0.35335,0.36825,0.36929,0.1519,1.96776,2.49218,2.11587,0.0005842,0.0005842,0.0005842
23,309.961,1.60654,2.47692,1.87484,0.39289,0.35165,0.37164,0.17703,1.86708,2.35174,2.01892,0.0005644,0.0005644,0.0005644
24,322.982,1.57489,2.41014,1.85548,0.84055,0.28322,0.37162,0.18049,1.94589,2.33259,2.11738,0.0005446,0.0005446,0.0005446
25,335.956,1.55706,2.37733,1.84248,0.42481,0.29889,0.32684,0.17017,1.9022,2.42357,2.08643,0.0005248,0.0005248,0.0005248
26,348.805,1.56353,2.36394,1.83494,0.29952,0.44091,0.3752,0.19692,1.88968,2.3674,2.03848,0.000505,0.000505,0.000505
27,361.841,1.54359,2.27811,1.82726,0.40314,0.35761,0.3576,0.17187,1.974,2.41665,2.12553,0.0004852,0.0004852,0.0004852
28,374.877,1.53584,2.25575,1.81785,0.46019,0.42772,0.41875,0.22669,1.86829,2.31207,2.04042,0.0004654,0.0004654,0.0004654
29,387.949,1.54345,2.22937,1.80134,0.49828,0.39809,0.39622,0.18778,1.84025,2.43935,1.99527,0.0004456,0.0004456,0.0004456
30,400.784,1.50934,2.18339,1.7805,0.34166,0.47473,0.36876,0.20179,1.80975,2.46806,1.97682,0.0004258,0.0004258,0.0004258
31,413.695,1.5202,2.20478,1.79794,0.44955,0.41533,0.42284,0.20937,1.88112,2.42915,2.03145,0.000406,0.000406,0.000406
32,426.366,1.49593,2.16596,1.77833,0.43404,0.40439,0.38877,0.21593,1.84428,2.37941,2.08674,0.0003862,0.0003862,0.0003862
33,439.167,1.51836,2.15356,1.78272,0.40712,0.44966,0.39796,0.20378,1.88776,2.31188,2.07069,0.0003664,0.0003664,0.0003664
34,452.08,1.47141,2.10039,1.75155,0.46347,0.37763,0.38068,0.20481,1.86549,2.45387,2.05583,0.0003466,0.0003466,0.0003466
35,465.283,1.47742,2.04083,1.75747,0.39259,0.45518,0.36459,0.19264,1.95651,2.48512,2.10676,0.0003268,0.0003268,0.0003268
36,478.27,1.44799,2.02398,1.72468,0.35456,0.44976,0.40281,0.23008,1.916,2.35269,2.07102,0.000307,0.000307,0.000307
37,491.547,1.4371,1.98083,1.71187,0.49721,0.37999,0.40627,0.20569,1.94831,2.39324,2.08855,0.0002872,0.0002872,0.0002872
