epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.51633,1.02876,0.71429,1,0.8903,0.000366936,0.000366936,0.000366936
2,14.0939,0.48977,0.77143,1,0.75472,0.00072997,0.00072997,0.00072997
3,19.8899,0.32536,0.8,1,1.09668,0.00108567,0.00108567,0.00108567
4,25.5105,0.30017,0.82857,1,1.24129,0.001078,0.001078,0.001078
5,30.9751,0.24275,0.74286,1,1.22526,0.001067,0.001067,0.001067
6,36.3123,0.2307,0.8,1,1.01156,0.00105601,0.00105601,0.00105601
7,41.8491,0.21756,0.8,1,0.79378,0.00104501,0.00104501,0.00104501
8,47.2847,0.19923,0.8,1,3.03288,0.00103401,0.00103401,0.00103401
9,52.8559,0.20023,0.77143,1,1.21098,0.00102301,0.00102301,0.00102301
