epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43156,2.93413,3.95502,2.72638,0.0016,0.44231,0.01435,0.00626,2.00996,3.94036,2.05862,0.00035007,0.00035007,0.00035007
2,8.05558,2.82353,3.85912,2.60889,0.00138,0.40385,0.03056,0.01581,2.40437,4.15881,2.47474,0.000709714,0.000709714,0.000709714
3,12.3448,2.77471,3.83823,2.58276,0.00162,0.44231,0.00236,0.00053,2.74626,4.07591,2.84631,0.0010621,0.0010621,0.0010621
4,15.9835,2.78972,3.79842,2.65252,0.0023,0.64103,0.02468,0.00785,2.53254,3.857,2.96536,0.00140722,0.00140722,0.00140722
5,19.6497,2.75734,3.72358,2.62369,0.00078,0.07692,0.00082,0.00032,2.7498,22.1956,3.09833,0.00160099,0.00160099,0.00160099
6,23.2917,2.68709,3.66386,2.60703,0.00068,0.15385,0.00036,0.00013,3.47506,187.142,5.24274,0.00158448,0.00158448,0.00158448
7,26.8755,2.65737,3.63135,2.61145,0.00051,0.19231,0.00035,0.00011,3.6274,inf,8.32594,0.00156798,0.00156798,0.00156798
