epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.33143,0.66346,0.73077,1,0.48633,0.000540231,0.000540231,0.000540231
2,10.789,0.58971,0.76923,1,0.54346,0.0010742,0.0010742,0.0010742
3,14.2105,0.54807,0.73077,1,0.65967,0.00158616,0.00158616,0.00158616
4,17.469,0.62955,0.76923,1,0.60645,0.00156798,0.00156798,0.00156798
5,20.7251,0.52877,0.76923,1,0.67725,0.00153497,0.00153497,0.00153497
6,23.9516,0.54184,0.80769,1,0.38403,0.00150197,0.00150197,0.00150197
7,27.0903,0.53403,0.84615,1,0.31128,0.00146896,0.00146896,0.00146896
8,30.2889,0.51076,0.84615,1,0.42114,0.00143595,0.00143595,0.00143595
9,33.3318,0.48772,0.76923,1,1.01074,0.00140295,0.00140295,0.00140295
10,36.4267,0.4944,0.76923,1,0.8667,0.00136994,0.00136994,0.00136994
11,39.4095,0.55025,0.76923,1,0.89062,0.00133693,0.00133693,0.00133693
12,42.4242,0.48216,0.88462,1,0.33179,0.00130393,0.00130393,0.00130393
13,45.5565,0.42315,0.88462,1,0.22632,0.00127092,0.00127092,0.00127092
14,48.6103,0.4162,0.76923,1,0.85156,0.00123791,0.00123791,0.00123791
15,51.6157,0.37733,0.88462,1,0.22693,0.00120491,0.00120491,0.00120491
16,54.6126,0.38238,0.84615,1,0.32617,0.0011719,0.0011719,0.0011719
17,57.5923,0.43675,0.76923,1,0.55762,0.00113889,0.00113889,0.00113889
18,60.6646,0.42175,0.76923,1,0.35278,0.00110589,0.00110589,0.00110589
19,63.7197,0.37565,0.84615,1,0.22217,0.00107288,0.00107288,0.00107288
20,66.7097,0.38189,0.80769,1,0.39331,0.00103987,0.00103987,0.00103987
21,69.7119,0.33508,0.84615,1,0.3772,0.00100687,0.00100687,0.00100687
22,72.7372,0.32044,0.88462,1,0.2439,0.000973861,0.000973861,0.000973861
23,75.8135,0.31927,0.84615,1,0.2489,0.000940855,0.000940855,0.000940855
24,79.1581,0.28827,0.92308,1,0.19873,0.000907848,0.000907848,0.000907848
25,82.3413,0.30217,0.76923,1,0.427,0.000874842,0.000874842,0.000874842
26,85.5982,0.27392,0.80769,1,0.29834,0.000841835,0.000841835,0.000841835
27,89.0253,0.33348,0.92308,1,0.09058,0.000808828,0.000808828,0.000808828
28,92.3861,0.27197,0.88462,1,0.21106,0.000775822,0.000775822,0.000775822
29,95.6596,0.25515,0.96154,1,0.11633,0.000742815,0.000742815,0.000742815
30,98.8795,0.29531,1,1,0.04745,0.000709809,0.000709809,0.000709809
31,101.912,0.28836,0.88462,1,0.12573,0.000676802,0.000676802,0.000676802
32,105.264,0.28887,0.92308,1,0.16833,0.000643795,0.000643795,0.000643795
33,108.626,0.25356,0.96154,1,0.08868,0.000610789,0.000610789,0.000610789
34,111.857,0.23966,0.84615,1,0.27441,0.000577782,0.000577782,0.000577782
35,115.061,0.25569,0.92308,1,0.12659,0.000544776,0.000544776,0.000544776
36,118.166,0.22562,0.92308,1,0.35156,0.000511769,0.000511769,0.000511769
37,121.312,0.25189,0.88462,1,0.19006,0.000478762,0.000478762,0.000478762
38,124.47,0.24327,0.88462,1,0.14807,0.000445756,0.000445756,0.000445756
39,127.549,0.17648,0.84615,1,0.36816,0.000412749,0.000412749,0.000412749
40,130.567,0.19359,1,1,0.06445,0.000379743,0.000379743,0.000379743
41,158.384,0.18258,1,1,0.0744,0.000346736,0.000346736,0.000346736
42,161.499,0.14663,1,1,0.05338,0.000313729,0.000313729,0.000313729
43,164.543,0.21466,0.88462,1,0.177,0.000280723,0.000280723,0.000280723
44,167.751,0.19811,0.88462,1,0.2583,0.000247716,0.000247716,0.000247716
45,170.815,0.15722,0.92308,1,0.11969,0.00021471,0.00021471,0.00021471
46,173.937,0.15761,0.96154,1,0.11969,0.000181703,0.000181703,0.000181703
47,177.245,0.15054,0.88462,1,0.1488,0.000148696,0.000148696,0.000148696
48,180.461,0.15758,0.92308,1,0.14624,0.00011569,0.00011569,0.00011569
49,183.607,0.15512,0.92308,1,0.11053,8.26832e-05,8.26832e-05,8.26832e-05
50,186.773,0.13203,0.92308,1,0.13538,4.96766e-05,4.96766e-05,4.96766e-05
